geneA_genesym	geneB_genesym
ADA	POTEF
ACTBL2	ADA
BEND7	C1QBP
BEND7	LRP4
CCNI2	HSPA8
CCNI2	LARP1B
CCNI2	CDK5
CD33	SLC39A11
CD33	PEX19
CALM3	CD33
CD33	COMMD3
ANKRD28	ANKRD44
ANKRD44	NOTCH1
ANKRD44	NOTCH2
ANKRD44	NOTCH3
ANKRD44	PPP6R2
ANKRD44	PPP6R1
ANKRD44	PPP6R3
ANKRD44	HIF1AN
ANKRD44	KIAA0802
ANKRD44	PPP6C
ANKRD44	CDKN2C
DRG2	HSPA8
DRG2	RWDD1
FAM187B	VRK2
CANX	FAM187B
FAM187B	HSPA5
FAM187B	HSPA8
FAM187B	SPPL2B
FAM187B	SLC25A6
FAM187B	RPL23
FAM187B	TUBA1A
FAM187B	SOAT1
FAM187B	MOSPD2
HAO1	KCNAB2
KIAA0930	YWHAQ
KIAA0930	YWHAB
KIAA0930	SFN
KIAA0930	YWHAG
KIAA0930	YWHAE
KIAA0930	YWHAZ
KIAA0930	YWHAH
CDK5RAP1	KIAA0930
KIAA0930	KLHL11
FRYL	KIAA0930
ATG7	KIAA0930
KIAA0930	WRN
KIAA0930	SIRT2
HSPA8	KIAA1967
KCNAB2	KIAA1967
HAO1	KIAA1967
CEP170	KIAA1967
KIAA1967	TUBA1A
KIAA1967	TUBB3
KIAA1967	TUBB8
KIAA1967	MCC
HSPA8	LPGAT1
LPGAT1	POTEF
ACTBL2	LPGAT1
HSPD1	LRRC28
HSP90AB4P	LRRC28
HSPA8	LRRC28
CUL5	LRRC28
KAT2A	MAGEA10
KAT2B	MAGEA10
MAGEA10	NCOA2
CSRP2BP	MAGEA10
MAGEA10	YEATS2
MAGEA10	MAGEA9B
MAGEA10	POTEF
ACTB	MAGEA10
ACTBL2	MAGEA10
DDX42	MAGEA10
CUX1	MAGEA10
ANKRD32	MAGEA10
MAGEA10	PHF8
MAGEA10	SATB2
MAGEA10	NRIP1
MAGEA10	ZZZ3
MAGEA10	RPS4X
MAGEA10	QSER1
ERI1	MAGEA10
FOXJ2	MAGEA10
MAGEA10	PES1
MAGEA10	TPM2
MAGEA10	TADA3
C12orf24	MAGEA10
MAGEA10	PKN1
MAGEA10	POU2F1
CCDC106	MAGEA10
CCHCR1	MAGEA10
CRTC3	MAGEA10
GTF2IRD1	MAGEA10
CDC6	MAGEA10
ARPC1B	ARPC2
ARPC1B	ARPC5L
ARPC1B	ARPC5
ACTR2	ARPC1B
ACTR3B	ARPC1B
ACTR3	ARPC1B
ARPC1B	ARPC4
ARPC1B	POGK
ARPC1B	NT5C
MAPK13	POTEF
CCT7	POC1A
CCT4	POC1A
HSPA8	POC1A
HSPA6	POC1A
CCT6A	POC1A
POC1A	POTEF
CCT8	POC1A
CCT3	POC1A
POC1A	TCP1
POC1A	POC1B
CCT5	POC1A
CCT2	POC1A
CORO1A	POC1A
PPID	UROD
DBT	PPM1K
BCKDHB	PPM1K
BCKDHA	PPM1K
RPLP2	RRS1
RPLP1	RRS1
RPL4	RRS1
NCL	RRS1
CSDA	RRS1
RRS1	YBX1
RPL7A	RRS1
RRS1	SF3B1
NOC4L	RRS1
