tf	mem
AAAS	ACSF3
AAAS	APRT
AAAS	C12orf52
AAAS	FBXL19
AAAS	G6PC3
AAMP	NLE1
AAMP	PES1
AAMP	PRMT5
AAMP	RCC1
ABLIM2	CCDC108
ABLIM2	FUT5
ABLIM2	PLA2G2D
ABLIM2	PRR5
ABLIM2	TMEM16H
ABT1	AK2
ABT1	ANAPC1
ABT1	ATAD3A
ABT1	BCL2L12
ABT1	BRRN1
ABT1	BYSL
ABT1	C19orf48
ABT1	C8orf76
ABT1	CCT7
ABT1	CDC123
ABT1	CDCA8
ABT1	COX4NB
ABT1	DDX23
ABT1	DDX28
ABT1	DKC1
ABT1	EDC3
ABT1	EIF4A3
ABT1	ELAVL1
ABT1	EXOSC2
ABT1	EXOSC5
ABT1	GEMIN4
ABT1	GRK6
ABT1	HNRNPC
ABT1	ILF2
ABT1	MCM4
ABT1	MED10
ABT1	MED27
ABT1	NOB1
ABT1	NOC4L
ABT1	NXT1
ABT1	PDRG1
ABT1	PPAN-P2RY11
ABT1	PPIH
ABT1	PRMT5
ABT1	PRPF31
ABT1	RANBP1
ABT1	RBM8A
ABT1	RCC1
ABT1	REXO4
ABT1	RNF113A
ABT1	RNF180
ABT1	RPUSD2
ABT1	SEPHS1
ABT1	SNRPA
ABT1	SNRPA1
ABT1	SNRPB
ABT1	SNRPD3
ABT1	SSRP1
ABT1	TDP1
ABT1	TMEM39B
ABT1	UCK2
ABT1	WDR18
ABT1	WDR5
ABT1	WDR74
ABT1	XRCC6
ABT1	ZNRD1
ACIN1	BAT2
ACIN1	BRD2
ACIN1	C20orf74
ACIN1	CBFA2T2
ACIN1	CPSF1
ACIN1	CREBBP
ACIN1	CTNNB1
ACIN1	CUL3
ACIN1	EPC1
ACIN1	FNBP1
ACIN1	GAPVD1
ACIN1	LARP5
ACIN1	MED13L
ACIN1	NUDCD3
ACIN1	RPS6KA3
ACIN1	SAPS3
ACIN1	SEPP1
ACIN1	SOS2
ACIN1	TBRG1
ACIN1	TIMM17A
ACIN1	TIMM23
ACIN1	TNRC6B
ACIN1	TRIM28
ACIN1	TRIP12
ACIN1	VPS13C
ACIN1	VPS35
ACIN1	ZBTB20
ACIN1	ZNF407
AHCTF1	ACTR2
AHCTF1	ATAD2B
AHCTF1	BAZ1A
AHCTF1	C10orf18
AHCTF1	C13orf31
AHCTF1	CAPNS1
AHCTF1	CGGBP1
AHCTF1	CTDSPL2
AHCTF1	EIF4A2
AHCTF1	EXOC5
AHCTF1	FOXN2
AHCTF1	HSPA4
AHCTF1	MANEA
AHCTF1	MAP3K7IP3
AHCTF1	MCM3AP
AHCTF1	MGEA5
AHCTF1	MIER3
AHCTF1	MYSM1
AHCTF1	NAB1
AHCTF1	NCOA2
AHCTF1	OTUD4
AHCTF1	PAPOLA
AHCTF1	PHTF2
AHCTF1	PRPF4B
AHCTF1	PTGES2
AHCTF1	RC3H2
AHCTF1	RIN2
AHCTF1	SCYL2
AHCTF1	SETX
AHCTF1	SLC4A7
AHCTF1	SYNJ1
AHCTF1	USP10
AHCTF1	USP34
AHCTF1	ZDHHC20
AKT2	AP2A1
AKT2	C19orf6
AKT2	C6orf166
AKT2	DAPK3
AKT2	EXTL3
AKT2	FAF1
AKT2	FOXK2
AKT2	HSF1
AKT2	KCNH2
AKT2	MCM3AP
AKT2	POMGNT1
AKT2	RANGAP1
AKT2	SEMA5A
AKT2	SLC35A2
AKT2	SPZ1
AKT2	UBE3B
AKT2	WDR6
AKT2	YWHAE
AKT2	ZER1
AKT2	ZNF672
ABTB2	ACTG2
ABTB2	C21orf2
ABTB2	CCNB2
ABTB2	CDC34
ABTB2	COL24A1
ABTB2	CRYBB1
ABTB2	CRYBB3
ABTB2	DLG5
ABTB2	DNASE1
ABTB2	DOCK6
ABTB2	DOT1L
ABTB2	DRD4
ABTB2	EIF4B
ABTB2	GJC2
ABTB2	GPR31
ABTB2	IDUA
ABTB2	LDLR
ABTB2	LHX6
ABTB2	MAPK11
ABTB2	MASP2
ABTB2	MRPL12
ABTB2	NCKIPSD
ABTB2	NPAS4
ABTB2	PGAM5
ABTB2	RDH14
ABTB2	SHBG
ABTB2	ST3GAL3
ABTB2	TNRC21
ABTB2	TRIM65
ABTB2	TRIM7
ABTB2	ZNF613
ANKRD32	ANLN
ANKRD32	AZI2
ANKRD32	C4orf21
ANKRD32	C5orf34
ANKRD32	CCNE2
ANKRD32	CENPJ
ANKRD32	CEP27
ANKRD32	DONSON
ANKRD32	NCBP1
ANKRD32	PAK2
ANKRD32	PAXIP1
ANKRD32	POLR3G
ANKRD32	TAF1B
ANKRD32	UBE3C
ACBD6	AGBL5
ACBD6	BLMH
ACBD6	CAD
ACBD6	CCT4
ACBD6	CDC123
ACBD6	CDCA8
ACBD6	DCPS
ACBD6	DTYMK
ACBD6	FAM149B1
ACBD6	FAM78B
ACBD6	HMGB3
ACBD6	MCTS1
ACBD6	NLE1
ACBD6	NME1-NME2
ACBD6	NOLA2
ACBD6	NPM3
ACBD6	OLA1
ACBD6	PAICS
ACBD6	PIGU
ACBD6	PRC1
ACBD6	PWP1
ACBD6	RANBP1
ACBD6	RPL7A
ACBD6	RPS19
