Node	Gene	Type	Basal-like_surv	HER2-enriched_surv	Luminal A_surv	Luminal B_surv
AAAS_prot	AAAS	prot	died	died	died	died
AANAT_mrna	AANAT	mrna	died	died	died	died
AATF_prot	AATF	prot	died	died	prot	died
ABCA7_mrna	ABCA7	mrna	died	died	died	mrna
ABCC2_mrna	ABCC2	mrna	died	mrna	died	died
ABCC3_mrna	ABCC3	mrna	died	died	died	died
ABCC8_mrna	ABCC8	mrna	mrna	died	mrna	mrna
ABCD1_mrna	ABCD1	mrna	died	died	died	died
ABHD14A-ACY1_mrna	ABHD14A-ACY1	mrna	died	died	died	died
ABHD14A_mrna	ABHD14A	mrna	died	died	died	died
ABHD17A_mrna	ABHD17A	mrna	died	died	died	died
ABHD17C_mrna	ABHD17C	mrna	died	died	died	died
ABHD5_mrna	ABHD5	mrna	died	died	died	died
ABL1_mrna	ABL1	mrna	died	died	died	died
ABL1_prot	ABL1	prot	died	died	died	died
ABL2_mrna	ABL2	mrna	died	died	died	died
ACAA1_mrna	ACAA1	mrna	died	died	died	died
ACAT2_mrna	ACAT2	mrna	died	died	mrna	died
ACBD6_mrna	ACBD6	mrna	died	died	died	died
ACD_mrna	ACD	mrna	died	died	died	died
ACLY_mrna	ACLY	mrna	died	died	died	died
ACO2_mrna	ACO2	mrna	died	died	died	died
ACOX2_mrna	ACOX2	mrna	mrna	died	died	died
ACOXL_mrna	ACOXL	mrna	died	died	died	died
ACP1_mrna	ACP1	mrna	died	died	died	died
ACSL1_mrna	ACSL1	mrna	died	mrna	died	died
ACTC1_mrna	ACTC1	mrna	died	died	died	died
ACTL6A_mrna	ACTL6A	mrna	died	died	mrna	died
ACTR1A_mrna	ACTR1A	mrna	died	died	died	died
ACTR5_mrna	ACTR5	mrna	died	died	mrna	mrna
ACVR1C_mrna	ACVR1C	mrna	died	died	died	died
ACVR2A_mrna	ACVR2A	mrna	died	died	died	died
ADAM15_mrna	ADAM15	mrna	died	died	died	died
ADAM17_mrna	ADAM17	mrna	died	died	died	died
ADAM8_mrna	ADAM8	mrna	died	died	died	died
ADAMTS3_mrna	ADAMTS3	mrna	died	died	died	died
ADAP1_mrna	ADAP1	mrna	died	died	died	died
ADARB1_prot	ADARB1	prot	died	died	died	died
ADARB2_mrna	ADARB2	mrna	died	died	died	died
ADGRA3_mrna	ADGRA3	mrna	died	died	died	died
ADGRB2_mrna	ADGRB2	mrna	died	died	died	died
ADH5_mrna	ADH5	mrna	died	died	died	died
ADIPOQ_mrna	ADIPOQ	mrna	died	died	died	died
ADK_mrna	ADK	mrna	died	mrna	died	died
ADRA2B_mrna	ADRA2B	mrna	died	died	died	died
ADRA2C_mrna	ADRA2C	mrna	died	died	died	died
ADRM1_mrna	ADRM1	mrna	died	mrna	mrna	died
ADSS_mrna	ADSS	mrna	died	died	died	died
AES_prot	AES	prot	died	died	died	died
AFF1_mrna	AFF1	mrna	died	died	died	died
AFF3_mrna	AFF3	mrna	died	died	died	mrna
AFF4_mrna	AFF4	mrna	died	died	mrna	died
AFG3L2_mrna	AFG3L2	mrna	died	died	died	died
