geneSym	TCGA-A2-A0D0	TCGA-BH-A0HK	TCGA-C8-A12T	TCGA-A2-A0D2	TCGA-C8-A12U	TCGA-AR-A1AS	TCGA-A2-A0EV	TCGA-AN-A0AM	TCGA-D8-A142	TCGA-AO-A0JL	TCGA-BH-A0BV	TCGA-A2-A0T6	TCGA-E2-A158	TCGA-E2-A15A	TCGA-A2-A0T7	TCGA-C8-A12Q	TCGA-A8-A079	TCGA-A2-A0YF	TCGA-BH-A0DD	TCGA-BH-A0E9	TCGA-A2-A0YG	TCGA-E2-A150	TCGA-BH-A18N	TCGA-A2-A0YM	TCGA-BH-A0C7	TCGA-A2-A0SX	TCGA-A7-A0CD	TCGA-C8-A12W	TCGA-AN-A0AL	TCGA-A7-A0CE	TCGA-BH-A0C0	TCGA-A2-A0YC	TCGA-A7-A0CJ	TCGA-AO-A12F	TCGA-A2-A0YL	TCGA-A8-A06Z	TCGA-A2-A0D1	TCGA-A2-A0CM	TCGA-A8-A09G	TCGA-C8-A131	TCGA-C8-A134	TCGA-A8-A09I	TCGA-C8-A12L	TCGA-A2-A0EX	TCGA-AN-A0FL	TCGA-BH-A0DG	TCGA-AN-A0AS	TCGA-AO-A0JC	TCGA-A8-A08Z	TCGA-AR-A0TX	TCGA-AO-A0JE	TCGA-AN-A0AJ	TCGA-AO-A0JM	TCGA-C8-A12V	TCGA-A8-A08G	TCGA-AO-A12D	TCGA-AN-A04A	TCGA-BH-A0AV	TCGA-AO-A12B	TCGA-AO-A12E	TCGA-A8-A06N	TCGA-A2-A0T1	TCGA-AR-A0TR	TCGA-AO-A03O	TCGA-BH-A18R	TCGA-AR-A0TT	TCGA-AR-A1AQ	TCGA-AR-A0TV	TCGA-C8-A12Z	TCGA-AO-A0JJ	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-BH-A0HP	TCGA-AR-A1AP	TCGA-AN-A0FK	TCGA-AO-A0J6	TCGA-AR-A1AW	TCGA-AR-A1AV	TCGA-C8-A135	TCGA-BH-A0EE	TCGA-AO-A0J9	TCGA-BH-A0E0	TCGA-BH-A18U	TCGA-A2-A0YI	TCGA-A2-A0EQ	TCGA-BH-A18V	TCGA-A7-A13F	TCGA-BH-A0E1	TCGA-C8-A12P	TCGA-BH-A0C1	TCGA-A2-A0EY	TCGA-C8-A138	TCGA-E2-A154	TCGA-BH-A0BZ	TCGA-D8-A13Y	TCGA-A8-A076	TCGA-AO-A126	TCGA-E2-A10A	TCGA-BH-A18Q	TCGA-C8-A130	TCGA-E2-A159	TCGA-A2-A0T3	TCGA-A2-A0YD
NAT1	-0.3477	-0.6842	0.4648	-0.2109	-0.3644	-0.6655	-0.6812	-0.3412	-0.4092	-0.3216	-0.4798	0.1528	-0.7889	-0.3842	-0.3122	-0.4072	-0.4391	0.0774	0.0099	0.009	-0.0982	-0.2719	-1.3566	-0.3924	-0.3986	-0.4089	0.3129	-0.4288	0.0905	-0.2605	-0.1709	0.0021	-0.5657	0.0603	0.0208	-1.1244	-0.623	0.1992	0.0887	-0.4074	-0.4064	-0.5622	0.2524	-0.4098	0.0624	-0.3041	-0.7497	0.0063	-0.5195	-0.3064	-0.3819	-0.9741	-0.4705	0.1873	-1.2782	-0.2408	-0.2924	-0.308	0.1635	-0.0169	-1.358	-0.0431	0.0605	-1.0547	-0.0459	-0.5895	0.3467	-0.5563	-0.6008	0.0501	-0.501	0.2973	0.0436	-0.4402	0.2222	-0.4469	-0.1596	-0.1068	-0.2156	-0.5177	-0.3008	0.0568	2.6376	0.0238	-0.2412	-0.3777	0.4395	0.2139	-0.537	0.1769	-0.0178	-0.3485	0.2912	0.0969	-0.5647	-0.588	-0.5321	-0.7254	-0.3952	-0.4101	0.2282	-0.7563	-0.0135
SERPINA3	0.1423	0.0275	0.0198	-0.2125	0.0037	-0.0271	-0.0598	-0.0524	-0.4184	-0.3168	0.1311	0.0123	0.1813	-0.6655	-0.0489	-0.3052	0.183	0.0594	-0.0664	0.0961	-0.1125	0.0585	-0.1586	-0.081	-0.4316	-0.0649	-0.1396	-0.3804	0.1303	0.3076	-0.008	0.0022	0.2927	-0.2217	0.021	-0.3176	0.1485	-0.0569	0.0734	-0.0471	-0.3536	0.0535	0.13	0.0085	0.5289	0.0716	0.8605	0.0022	0.0183	0.0123	0.2593	-0.0405	0.4364	-0.0778	-0.1751	-0.0539	0.2928	-0.2865	-0.1614	-0.0216	0.0117	-0.0524	-0.3301	0.1442	-0.0072	-0.1943	-0.219062552506576	-0.5909	0.0475	0.0317	0.1792	-0.1194	0.052	-0.4343	-0.0091	-0.4637	-0.0922	-0.1365	0.0689	0.3565	-0.0348	-0.2838	-0.2412	0.0203	-0.426	0.2288	-0.599	-0.0081	0.1147	-0.0741	-0.3246	0.3281	0.095	-0.1854	0.3109	0.2999	0.0815	0.0816	-0.3782	0.1761	-0.1832	0.2611	-0.0289
AANAT	-0.2833	0.0081	0.0254	-0.0094	1.2431	-0.0065	0.4711	1.0137	0.193	-0.265	0.1598	0.0476	0.205	0.1523	0.0802	0.0154	0.5254	0.0748	-0.5316	-0.0473	-0.1065	-0.2607	0.179	0.3736	0.4321	-0.0289	0.6679	0.205	0.1529	0.1483	0.5973	0.4041	0.5381	0.0932	0.0229	0.4509	-0.1781	0.1113	0.0606	-0.1927	0.0841	0.1012	0.365	0.0134	0.5037	0.4843	-0.3459	0.0088	0.0313	0.2939	0.0777	0.2341	0.3502	0.1639	0.3331	-0.0767	-0.3433	0.2165	0.1263	0.2605	0.5898	-0.0654	0.0358	-0.0433	0.5103	-0.02	0.1555	0.0553	-0.5241	0.232	1.1341	0.1797	-0.3337	0.1228	0.0085	0.5014	0.1057	0.1024	0.5223	1.1774	-0.0258	-0.2663	0.0631	-0.0017	0.3184	-0.3836	0.3306	-0.01	-0.2523	-0.3588	-0.0685	-0.3502	-0.0011	0.4311	-0.4766	0.0339	0.0834	0.0649	0.0408	0.0476	-0.1162	0.7874	-0.0226
ABL1	0.0547	0.0159	-0.2626	-0.2243	0.2364	-0.0446	-0.0853	-0.3375	-0.0464	-0.2802	-0.1784	0.0127	0.216	-0.3777	0.0301	-0.0028	-0.0271	0.0592	-0.0951	0.1127	0.1382	-0.4042	-0.1554	0.1872	0.1078	-0.0812	-0.2393	-0.2283	-0.5154	-0.2871	0.2914	0.0025	-0.0643	-0.2053	0.022	-0.3865	-0.6128	-0.0695	0.0544	-0.139	-0.3654	-0.1479	0.3863	0.0131	0.0594	-0.0126	0.0419	0.005	0.0326	-0.003	-0.0055	-0.0246	0.2006	-0.0794	-0.0758	-0.072	0.2649	0.0725	-0.1481	-0.0366	-0.0067	0.2931	0.351	-0.5052	-0.0339	-0.0336	-0.1958	0.0441	0.1266	0.0211	-0.4909	-0.2857	0.0691	-0.4079	0.1277	-0.0567	-0.0895	-0.1585	0.0152	0.0222	-0.0286	-0.2283	-0.0842	0.2795	0.1164	0.251	-0.2024	-0.002	-0.1951	-0.0073	0.3966	-0.0764	-0.1962	0.1978	-0.5284	0.0688	0.0774	0.072	-0.4079	-0.8988	0.107588933638868	0.1601	-0.0239
ABL2	0.1961	0.9766	0.0422	-0.1968	-0.3476	0.7335	0.3689	0.1886	0.3626	0.77	0.5909	0.3558	0.1576	0.4115	0.6144	0.7467	-0.0553	0.3805	0.2769	0.4712	0.497919694620156	0.3728	-0.1507	0.1649	0.4803	0.3923	0.6039	0.1967	0.4919	0.8881	0.125	0.4094	0.2763	0.760344599440749	0.2345	0.4786	0.1417	0.2982	0.4449	0.2896	0.0815	0.6869	0.3601	0.0016	0.6022	0.4192	0.3553	0.0725	0.6511	0.0341	0.3241	0.311	0.4976	0.0391	0.7475	0.33	0.3171	0.1171	0.4231	-0.0245	0.3307	0.1871	0.5807	0.465279843032453	0.2717	-0.0428	0.1196	0.1393	0.7822	0.3618	0.1728	0.0114	0.3671	0.338	0.6681	0.1247	0.2361	0.6219	0.1973	0.3554	0.5385	1.1451	0.4657	0.2908	0.2052	0.127570074338023	0.6255	0.7407	0.3012	0.8385	0.3562	0.2842	0.4515	0.1654	0.2645	0.4958	0.0653	0.3112	0.6284	0.2089	0.1551	0.2178	0.8198
ACAA1	-0.3151	-0.0029	0.0264	-0.1844	-0.0516	0.3555	-0.0449	-0.0615	-0.0266	-0.0804	0.1539	0.0125	0.2155	-0.3739	0.1424	0.2878	0.1018	0.0459	-0.0284	0.1171	-0.1162	-0.2591	0.1648	-0.0458	-0.3709	-0.2971	0.2459	0.1155	-0.5406	-0.3075	-0.1906	-1e-04	-0.5984	0.0648	0.0209	-0.3856	-0.6124	0.2243	0.0896	-0.043	-0.3941	0.3305	-0.3332	-0.3719	-0.7025	0.0019	0.1663	-0.0054	0.0274	-0.2997	-0.3787	-0.0322	-0.4327	-0.0727	-0.0789	0.118	0.0528	0.2004	-0.1585	-0.0258	-0.0069	-0.0469	0.0559	-0.071	-0.0349	-0.277	-0.1539	0.1573	0.0133	0.0391	0.1944	0.0452	0.0431	0.1022	-0.0152	0.0969	-0.0194	-0.1294	-0.2154	0.0085	-0.0449	-0.2727	0.5124	0.0208	-0.1216	-0.0257	0.1651	-0.013	-0.1412	-0.069	-0.0262	0.0761	0.0774	-0.0149	0.262	0.064	-0.519	0.0577	-0.3711	-0.4242	-0.2107	-0.3971	-0.0211
ACADS	-0.3456	0.0215	0.0256	-0.1931	-0.3506	-0.0214	0.1099	-0.1306	-0.081	-0.2862	0.061	0.0069	0.1542	0.2384	0.3421	-0.0059	0.3138	0.0806	0.2445	-0.047	0.1465	-0.2645	0.1711	-0.0776	-0.111	0.0389	0.1724	-0.0235	0.0934	-0.3452	-0.1932	0.0022	-0.0501	-0.2533	0.0219	-0.1661	0.5709	0.1998	0.0139	-0.1947	0.1273	0.322	0.0442	-0.0222	-0.7467	0.0114	-0.3776	-0.0045	0.0535	-0.3093	-0.0031	-0.4052	-0.0683	0.016	0.2574	-0.0529	0.0339	-0.2812	-0.1655	0.2062	0.3479	-0.0519	0.3495	-0.167	0.2687	-0.0314	-0.1938	0.0859	-0.2983	0.0286	0.1836	0.0415	0.0416	0.1306	-0.3315	0.0719	-0.0503	0.2578	-0.2344	-0.2004	0.3721	-0.2313	-0.0735	0.0098	-0.0013	-0.3724	0.1231	-0.0134	0.0165	-0.36	-0.3598	0.1457	-0.304	-0.0023	-0.4969	0.3024	0.0822	-0.6888	0.0441	-0.169	-0.191	-0.2399	-0.0226
ACAT2	0.5357	0.0024	0.0023	-0.1929	-0.279	-0.0098	-0.0509	-0.2578	0.088	-0.3092	0.0955	-0.4725	-0.7851	-0.059	-0.3269	-0.416	-0.2462	0.0365	-0.0688	-0.0431	0.1946	0.3051	-0.1659	-0.0923	0.1153	0.0621	-0.6816	-0.4018	0.1391	0.1552	-0.1961	0.0058	-0.1043	0.6286	0.0204	-0.4206	0.342	0.3166	0.0883	0.0356	-0.3824	-0.2454	0.0953	-0.0323	0.0385	0.0063	-0.1272	-0.0031	0.0128	0.0441	0.0294	-0.0593	-0.088	-0.0719	-0.1543	-0.0535	0.0069	0.1116	0.1741	-0.0291	-0.5838	-0.0489	-0.3152	0.1968	-0.505	0.1369	0.1317	0.3591	0.0057	-0.0631	0.1806	0.0449	0.0209	0.1042	0.2273	-0.4126	0.0323	0.1363	0.0606	7e-04	-0.0557	0.0723	-0.0598	0.0203	0.2235	-0.4267	-0.5824	-0.0314	-0.1418	0.1526	0.2274	-0.0151	-0.0361	-0.0457	0.2464	-0.2336	0.0645	0.0567	0.0105	0.0744	0.1861	-0.3864	-0.0269
ACLY	-0.2842	-0.0027	-0.5882	-0.188	-0.3525	-0.0065	0.4662	-0.3267	0.0604	-0.8836	0.1672	0.0345	-0.664	0.1341	0.1112	-0.3818	-0.228	0.0819	-0.417547089047943	-0.0458	-0.3931	-0.2384	0.1761	-0.0691	0.4219	-0.0599	0.6216	0.1803	-0.5124	0.0992	0.115	0.3833	-0.5605	0.0955	-0.2448	0.4599	-0.5746	-0.2211	0.8306	-0.1759	0.1223	-0.5494	-0.096	0.015	-0.7243	-0.3358	-0.3318	0.0163	0.0194	-0.3036	0.052	-0.0252	-0.46	-0.0936	0.344	-0.2447	-0.3227	-0.2178	0.1291	0.2476	0.5616	0.0653	0.0381	-0.0502	-0.4661	-0.223	-0.1965	0.1009	0.3608	0.0157	-0.5022	-0.2786	-0.3512	-0.3846	-0.0137	0.0888	0.0978	0.0979	-0.2578	-0.4501	-0.0258	-0.2624	0.2661	-0.0022	-0.0058	-0.0292	0.3473	-0.0099	-0.2645	-0.0398	-0.0591	-0.3289	-0.0066	-0.0521	-0.5179	-0.5744	0.0824	0.0588	-0.3953	0.2822	-0.0899	-0.2587	-0.0258
ACO2	-0.2979	-0.009	0.0056	-0.1822	-0.3631	-0.0185	-0.17	0.0433	0.4343	-0.0925	-0.5327	-0.4743	-0.666	0.1179	-0.2443	-0.0185	-0.1175	-0.5469	-0.072	-0.0463	0.1202	-0.1503	-0.1571	-0.0688	-0.3916	-0.301	0.4673	0.3368	0.8765	-0.3155	-0.0299	0.0013	-0.1137	0.0204	0.017	-0.1832	0.1513	-0.2323	0.0383	-0.0125	0.0983	0.0986	0.1358	0.0041	0.5357	-0.0197	0.1027	0.0163	-0.4855	0.0163	-0.0147	-0.3936	-0.1109	0.0141	-0.5095	0.561	0.094	0.1262	0.1689	-0.4149	-0.5089	0.1176	-0.8658	-0.1042	-0.0529	-0.0153	-0.2226	0.5268	0.1313	0.0281	-0.5035	0.0301	0.0735	-0.3945	-0.3198	0.0098	-0.0621	-0.461	0.069	-0.0021	-0.2969	-0.2622	0.3899	-0.0082	-0.0092	0.2485	0.0721	-4e-04	0.0196	-0.0339	-0.0394	-0.3361	-0.0207	-0.231	-0.5419	-0.223	0.081	-0.7226	0.34	-0.1506	-0.1918	-0.2439	-0.4065
