Threshold	CVerror	CVerror_Basal-like	CVerror_HER2-enriched	CVerror_Luminal A	CVerror_Luminal B	EdgesSelected
0	0.340934	0.3	0.45	0.166667	0.433333	14555
0.122743	0.340934	0.3	0.45	0.166667	0.433333	14524
0.245487	0.340934	0.3	0.45	0.166667	0.433333	14302
0.36823	0.33601	0.183333	0.6	0.166667	0.433333	13776
0.490973	0.33601	0.183333	0.6	0.166667	0.433333	12894
0.613716	0.326919	0.15	0.6	0.166667	0.433333	11711
0.73646	0.314419	0.1	0.6	0.166667	0.433333	10284
0.859203	0.324419	0.1	0.65	0.166667	0.433333	8778
0.981946	0.32553	0.1	0.75	0.133333	0.433333	7291
1.10469	0.307197	0.1	0.75	0.0666667	0.433333	5925
1.22743	0.307197	0.1	0.75	0.0666667	0.433333	4750
1.35018	0.296439	0.133333	0.75	0.0333333	0.4	3764
1.47292	0.296439	0.133333	0.75	0.0333333	0.4	2955
1.59566	0.297197	0.133333	0.8	0.0333333	0.375	2297
1.71841	0.276364	0.133333	0.65	0.0333333	0.375	1796
1.84115	0.276364	0.133333	0.65	0.0333333	0.375	1400
1.96389	0.285455	0.133333	0.65	0.0333333	0.408333	1074
2.08664	0.297197	0.133333	0.6	0.0333333	0.466667	812
2.20938	0.297197	0.133333	0.6	0.0333333	0.466667	609
2.33212	0.297197	0.133333	0.6	0.0333333	0.466667	444
2.45487	0.307197	0.133333	0.6	0.0333333	0.5	314
2.57761	0.297197	0.133333	0.55	0.0333333	0.5	211
2.70035	0.316288	0.133333	0.6	0.0333333	0.533333	135
2.8231	0.337045	0.166667	0.6	0.0333333	0.566667	79
2.94584	0.343561	0.2	0.55	0.0333333	0.6	46
3.06858	0.389318	0.3	0.6	0.133333	0.566667	24
3.19133	0.4175	0.316667	0.6	0.233333	0.55	10
3.31407	0.590051	0.416667	0.85	0.466667	0.683333	2
3.43681	0.738081	0.45	0.85	0.8	0.833333	1
3.55956	1	1	1	1	1	0
