Edge	NodeA	NodeB	InteractionType	Basal-like_dikNew	Basal-like_sigEdge	Basal-like_dir	Basal-like_absdiknew	HER2-enriched_dikNew	HER2-enriched_sigEdge	HER2-enriched_dir	HER2-enriched_absdiknew	Luminal A_dikNew	Luminal A_sigEdge	Luminal A_dir	Luminal A_absdiknew	Luminal B_dikNew	Luminal B_sigEdge	Luminal B_dir	Luminal B_absdiknew
AATF_prot_BAX_mrna	AATF_prot	BAX_mrna	tf	0	died	died	0	0	died	died	0	-0.190131	tf	down	0.190131	-0	died	died	0
AKT1_prot_AR_prot	AKT1_prot	AR_prot	ppi	-0	died	died	0	0.260883	ppi	up	0.260883	0	died	died	0	-0	died	died	0
AKT1_prot_CLTC_prot	AKT1_prot	CLTC_prot	ppi	-0	died	died	0	0.297374	ppi	up	0.297374	-0	died	died	0	-0	died	died	0
AKT1_prot_CTBP1_prot	AKT1_prot	CTBP1_prot	ppi	-0	died	died	0	0.0175364	ppi	up	0.0175364	-0	died	died	0	-0	died	died	0
AKT1_prot_DDX5_prot	AKT1_prot	DDX5_prot	ppi	-0	died	died	0	0.241365	ppi	up	0.241365	-0	died	died	0	0	died	died	0
AKT1_prot_EEF1G_prot	AKT1_prot	EEF1G_prot	ppi	0	died	died	0	0.280281	ppi	up	0.280281	-0	died	died	0	-0	died	died	0
AKT1_prot_HDAC3_prot	AKT1_prot	HDAC3_prot	ppi	-0	died	died	0	0.0922023	ppi	up	0.0922023	-0	died	died	0	-0	died	died	0
ANAPC1_prot_MKI67_mrna	ANAPC1_prot	MKI67_mrna	tf	0	died	died	0	0	died	died	0	-0.061509	tf	down	0.061509	0	died	died	0
ANK2_prot_SORBS1_mrna	ANK2_prot	SORBS1_mrna	tf	0	died	died	0	-0	died	died	0	0.305332	tf	up	0.305332	-0	died	died	0
ANKRD17_prot_GNG13_mrna	ANKRD17_prot	GNG13_mrna	tf	-0	died	died	0	0	died	died	0	-0.0250539	tf	down	0.0250539	0	died	died	0
ANKRD17_prot_PLK4_mrna	ANKRD17_prot	PLK4_mrna	tf	0	died	died	0	0	died	died	0	-0.858364	tf	down	0.858364	0	died	died	0
ANKRD17_prot_PNO1_mrna	ANKRD17_prot	PNO1_mrna	tf	0	died	died	0	0	died	died	0	-0.41408	tf	down	0.41408	0	died	died	0
ANKRD17_prot_TTF2_mrna	ANKRD17_prot	TTF2_mrna	tf	0	died	died	0	0	died	died	0	-0.458677	tf	down	0.458677	0	died	died	0
ANKRD17_prot_WDHD1_mrna	ANKRD17_prot	WDHD1_mrna	tf	0	died	died	0	0	died	died	0	-0.558955	tf	down	0.558955	0	died	died	0
ANKRD39_prot_BOLA3_mrna	ANKRD39_prot	BOLA3_mrna	tf	0	died	died	0	0	died	died	0	-0.0349009	tf	down	0.0349009	0	died	died	0
ANTXR1_prot_PRICKLE2_mrna	ANTXR1_prot	PRICKLE2_mrna	tf	-0	died	died	0	0	died	died	0	0.0848236	tf	up	0.0848236	-0	died	died	0
APITD1_prot_CDCA5_mrna	APITD1_prot	CDCA5_mrna	tf	0	died	died	0	0	died	died	0	-0.725772	tf	down	0.725772	0	died	died	0
APITD1_prot_CHEK2_mrna	APITD1_prot	CHEK2_mrna	tf	0	died	died	0	0	died	died	0	-0.0312576	tf	down	0.0312576	0	died	died	0
APPL1_prot_APPL2_prot	APPL1_prot	APPL2_prot	ppi	-0	died	died	0	-0	died	died	0	0.25754	ppi	up	0.25754	-0	died	died	0
APPL1_prot_AR_prot	APPL1_prot	AR_prot	ppi	-0	died	died	0	-0	died	died	0	0.440702	ppi	up	0.440702	-0	died	died	0
APPL1_prot_HDAC1_prot	APPL1_prot	HDAC1_prot	ppi	-0	died	died	0	-0	died	died	0	0.227489	ppi	up	0.227489	0	died	died	0
APPL1_prot_HDAC5_prot	APPL1_prot	HDAC5_prot	ppi	-0	died	died	0	-0.463584	ppi	down	0.463584	0.746422	ppi	up	0.746422	-0	died	died	0
ARHGEF1_prot_DLGAP4_mrna	ARHGEF1_prot	DLGAP4_mrna	tf	0	died	died	0	0	died	died	0	-0.10178	tf	down	0.10178	-0	died	died	0
ARID3A_prot_E2F1_mrna	ARID3A_prot	E2F1_mrna	tf	0	died	died	0	-0	died	died	0	-0.468092	tf	down	0.468092	0	died	died	0
ARMC6_prot_TERF2_prot	ARMC6_prot	TERF2_prot	ppi	0	died	died	0	0	died	died	0	-0.135498	ppi	down	0.135498	0	died	died	0
AR_prot_ACOX2_mrna	AR_prot	ACOX2_mrna	tf	-1.24718	tf	down	1.24718	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_ACSL1_mrna	AR_prot	ACSL1_mrna	tf	-0	died	died	0	0.150137	tf	up	0.150137	-0	died	died	0	-0	died	died	0
AR_prot_AKT1_mrna	AR_prot	AKT1_mrna	tf	-0	died	died	0	0.890605	tf	up	0.890605	-0	died	died	0	0	died	died	0
AR_prot_AR_mrna	AR_prot	AR_mrna	tf	-1.72661	tf	down	1.72661	0.144702	tf	up	0.144702	0.229514	tf	up	0.229514	0	died	died	0
AR_prot_BTG2_mrna	AR_prot	BTG2_mrna	tf	-0.306908	tf	down	0.306908	0	died	died	0	0.989893	tf	up	0.989893	0	died	died	0
AR_prot_CDK20_mrna	AR_prot	CDK20_mrna	tf	-0.0342294	tf	down	0.0342294	-0	died	died	0	0.105841	tf	up	0.105841	0	died	died	0
AR_prot_CTNNBIP1_prot	AR_prot	CTNNBIP1_prot	ppi	-0	died	died	0	0.0171415	ppi	up	0.0171415	0	died	died	0	0	died	died	0
AR_prot_DBI_mrna	AR_prot	DBI_mrna	tf	-0	died	died	0	0.214487	tf	up	0.214487	-0	died	died	0	-0	died	died	0
AR_prot_DDB2_prot	AR_prot	DDB2_prot	ppi	-0	died	died	0	-0	died	died	0	0.234553	ppi	up	0.234553	0	died	died	0
AR_prot_ECM1_mrna	AR_prot	ECM1_mrna	tf	-0.282726	tf	down	0.282726	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_FKBP4_prot	AR_prot	FKBP4_prot	ppi	-0.148472	ppi	down	0.148472	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_FOXA1_prot	AR_prot	FOXA1_prot	ppi	-1.31397	ppi	down	1.31397	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_GNMT_mrna	AR_prot	GNMT_mrna	tf	-0.335363	tf	down	0.335363	0.216104	tf	up	0.216104	0	died	died	0	0	died	died	0
AR_prot_GTF2F1_mrna	AR_prot	GTF2F1_mrna	tf	-0.145422	tf	down	0.145422	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_HGF_mrna	AR_prot	HGF_mrna	tf	-0.300476	tf	down	0.300476	0	died	died	0	0.528298	tf	up	0.528298	0	died	died	0
AR_prot_HMGCS1_mrna	AR_prot	HMGCS1_mrna	tf	-0	died	died	0	0.083865	tf	up	0.083865	0	died	died	0	0	died	died	0
AR_prot_KIFAP3_prot	AR_prot	KIFAP3_prot	ppi	-0.158188	ppi	down	0.158188	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_LIPA_mrna	AR_prot	LIPA_mrna	tf	-0.338687	tf	down	0.338687	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_MYCN_mrna	AR_prot	MYCN_mrna	tf	-0	died	died	0	0.173697	tf	up	0.173697	0	died	died	0	-0	died	died	0
AR_prot_NAT1_mrna	AR_prot	NAT1_mrna	tf	-0.944719	tf	down	0.944719	0	died	died	0	0.533195	tf	up	0.533195	0	died	died	0
AR_prot_NCOA4_mrna	AR_prot	NCOA4_mrna	tf	-0	died	died	0	0	died	died	0	0.0580058	tf	up	0.0580058	0	died	died	0
AR_prot_PLAT_mrna	AR_prot	PLAT_mrna	tf	-0.0557147	tf	down	0.0557147	0	died	died	0	0.253068	tf	up	0.253068	0	died	died	0
AR_prot_RARRES3_mrna	AR_prot	RARRES3_mrna	tf	-0.72533	tf	down	0.72533	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_S100A8_mrna	AR_prot	S100A8_mrna	tf	-0	died	died	0	0.167977	tf	up	0.167977	-0	died	died	0	-0	died	died	0
AR_prot_S100A9_mrna	AR_prot	S100A9_mrna	tf	-0	died	died	0	0.0756358	tf	up	0.0756358	-0	died	died	0	-0	died	died	0
AR_prot_SART3_prot	AR_prot	SART3_prot	ppi	-0	died	died	0	0	died	died	0	0.0430467	ppi	up	0.0430467	0	died	died	0
AR_prot_SMAD3_mrna	AR_prot	SMAD3_mrna	tf	-0.188051	tf	down	0.188051	0	died	died	0	0	died	died	0	0	died	died	0
AR_prot_TCF7L2_mrna	AR_prot	TCF7L2_mrna	tf	-0	died	died	0	0	died	died	0	0	died	died	0	-0.0410745	tf	down	0.0410745
AR_prot_TMSB10_mrna	AR_prot	TMSB10_mrna	tf	-0	died	died	0	0.196293	tf	up	0.196293	-0	died	died	0	-0	died	died	0
AR_prot_TPO_mrna	AR_prot	TPO_mrna	tf	-0.98425	tf	down	0.98425	0	died	died	0	0.14028	tf	up	0.14028	0	died	died	0
AR_prot_UBE3A_mrna	AR_prot	UBE3A_mrna	tf	-0	died	died	0	0	died	died	0	0.0179823	tf	up	0.0179823	0	died	died	0
AR_prot_UCP2_mrna	AR_prot	UCP2_mrna	tf	-0.00112071	tf	down	0.00112071	0.421464	tf	up	0.421464	0	died	died	0	0	died	died	0
AR_prot_UCP3_mrna	AR_prot	UCP3_mrna	tf	-0	died	died	0	0.261314	tf	up	0.261314	-0	died	died	0	0	died	died	0
AR_prot_ZMIZ1_mrna	AR_prot	ZMIZ1_mrna	tf	-0.0820531	tf	down	0.0820531	0	died	died	0	0	died	died	0	0	died	died	0
ASB6_prot_ZDHHC12_mrna	ASB6_prot	ZDHHC12_mrna	tf	-0	died	died	0	0	died	died	0	-0.210844	tf	down	0.210844	0	died	died	0
ASCC3_prot_FBXO5_mrna	ASCC3_prot	FBXO5_mrna	tf	0	died	died	0	0	died	died	0	-0.47504	tf	down	0.47504	0	died	died	0
ASH1L_prot_RANGAP1_mrna	ASH1L_prot	RANGAP1_mrna	tf	0	died	died	0	0	died	died	0	-0.132221	tf	down	0.132221	-0	died	died	0
ASH1L_prot_SPG20_mrna	ASH1L_prot	SPG20_mrna	tf	0	died	died	0	-0.165337	tf	down	0.165337	0	died	died	0	-0	died	died	0
ASPH_prot_PGRMC1_mrna	ASPH_prot	PGRMC1_mrna	tf	0	died	died	0	0	died	died	0	-0	died	died	0	-0.122301	tf	down	0.122301
ASPH_prot_TXNDC17_mrna	ASPH_prot	TXNDC17_mrna	tf	-0	died	died	0	0.34754	tf	up	0.34754	-0	died	died	0	-0	died	died	0
ATAD2_prot_ACTL6A_mrna	ATAD2_prot	ACTL6A_mrna	tf	0	died	died	0	-0	died	died	0	-0.25285	tf	down	0.25285	0	died	died	0
ATAD2_prot_ACTR5_mrna	ATAD2_prot	ACTR5_mrna	tf	-0	died	died	0	-0	died	died	0	-0	died	died	0	0.452292	tf	up	0.452292
ATAD2_prot_ATAD5_mrna	ATAD2_prot	ATAD5_mrna	tf	0	died	died	0	-0	died	died	0	-0.0560025	tf	down	0.0560025	0.219011	tf	up	0.219011
ATAD2_prot_AURKA_mrna	ATAD2_prot	AURKA_mrna	tf	0	died	died	0	0	died	died	0	-0.991198	tf	down	0.991198	0.035022	tf	up	0.035022
ATAD2_prot_BRCA1_mrna	ATAD2_prot	BRCA1_mrna	tf	-0	died	died	0	-0	died	died	0	-0	died	died	0	0.0484409	tf	up	0.0484409
ATAD2_prot_BUB1_mrna	ATAD2_prot	BUB1_mrna	tf	0	died	died	0	-0	died	died	0	-0.72891	tf	down	0.72891	0	died	died	0
ATAD2_prot_BUB3_mrna	ATAD2_prot	BUB3_mrna	tf	-0	died	died	0	-0	died	died	0	-0	died	died	0	0.45271	tf	up	0.45271
ATAD2_prot_C5orf34_mrna	ATAD2_prot	C5orf34_mrna	tf	0	died	died	0	-0	died	died	0	-0.514226	tf	down	0.514226	0	died	died	0
ATAD2_prot_CCNB2_mrna	ATAD2_prot	CCNB2_mrna	tf	0	died	died	0	-0	died	died	0	-0.887784	tf	down	0.887784	0	died	died	0
ATAD2_prot_CCNE2_mrna	ATAD2_prot	CCNE2_mrna	tf	0	died	died	0	0	died	died	0	-0.707753	tf	down	0.707753	0.267802	tf	up	0.267802
ATAD2_prot_CDK2_mrna	ATAD2_prot	CDK2_mrna	tf	0	died	died	0	-0	died	died	0	-0	died	died	0	0.0670147	tf	up	0.0670147
ATAD2_prot_CSTF2_mrna	ATAD2_prot	CSTF2_mrna	tf	0	died	died	0	-0	died	died	0	-0	died	died	0	0.0622754	tf	up	0.0622754
ATAD2_prot_DEPDC1_mrna	ATAD2_prot	DEPDC1_mrna	tf	0	died	died	0	0	died	died	0	-0.867489	tf	down	0.867489	0	died	died	0
ATAD2_prot_ECT2_mrna	ATAD2_prot	ECT2_mrna	tf	0	died	died	0	-0	died	died	0	-0.237131	tf	down	0.237131	0	died	died	0
ATAD2_prot_ESR1_prot	ATAD2_prot	ESR1_prot	ppi	-0	died	died	0	-0	died	died	0	0	died	died	0	1.01062	ppi	up	1.01062
ATAD2_prot_FBXO5_mrna	ATAD2_prot	FBXO5_mrna	tf	0	died	died	0	-0	died	died	0	-0.656774	tf	down	0.656774	0	died	died	0
ATAD2_prot_GMNN_mrna	ATAD2_prot	GMNN_mrna	tf	0	died	died	0	-0	died	died	0	-0.355093	tf	down	0.355093	0	died	died	0
ATAD2_prot_HELLS_mrna	ATAD2_prot	HELLS_mrna	tf	0	died	died	0	0	died	died	0	-0.385337	tf	down	0.385337	0	died	died	0
