Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
AAAS_mrna	AAAS	mrna	ELF1_prot;HDAC2_prot	2
AAAS_prot	AAAS	prot	APRT_mrna;REL_prot	2
AANAT_mrna	AANAT	mrna	PHF8_prot;TCF3_prot	2
AATF_prot	AATF	prot	BAX_mrna;RBL2_prot;RELA_prot;SS18L1_prot;TSG101_prot	5
ABCA7_mrna	ABCA7	mrna	FOXA1_prot	1
ABCC2_mrna	ABCC2	mrna	CEBPB_prot;IRF3_prot;TP53_prot	3
ABCC3_mrna	ABCC3	mrna	BRD4_prot;RXRA_prot;STAT5A_prot;TP53_prot;TTC28_prot	5
ABCC8_mrna	ABCC8	mrna	ADARB1_prot;DDX51_prot;FBXL17_prot;H1FX_prot;KLC3_prot;POLL_prot;PWWP2B_prot;SARDH_prot;TRIM5_prot;TTC28_prot;ZNF552_prot	11
ABCD1_mrna	ABCD1	mrna	RAD21_prot	1
ABHD14A-ACY1_mrna	ABHD14A-ACY1	mrna	ELF1_prot	1
ABHD14A_mrna	ABHD14A	mrna	ELF1_prot	1
ABHD17A_mrna	ABHD17A	mrna	BHLHE40_prot	1
ABHD17C_mrna	ABHD17C	mrna	MAZ_prot	1
ABHD5_mrna	ABHD5	mrna	BHLHE40_prot	1
ABL1_mrna	ABL1	mrna	CEBPB_prot;SMC3_prot	2
ABL1_prot	ABL1	prot	BAX_mrna;AP2B1_prot;CREB1_prot;JUN_prot;KHDRBS1_prot;PSMD4_prot;SHC1_prot;SOS1_prot;TP53_prot;XPO1_prot;XRCC6_prot;YTHDC1_prot	12
ABL2_mrna	ABL2	mrna	BTF3_prot;KPNA1_prot;ZFYVE1_prot	3
ACAA1_mrna	ACAA1	mrna	AR_prot;CEBPB_prot	2
ACADS_mrna	ACADS	mrna	AR_prot;CEBPB_prot	2
ACAT2_mrna	ACAT2	mrna	BUB3_prot;CCNB1_prot;DDX55_prot;NCAPG_prot;RBM12_prot;SEH1L_prot;WDHD1_prot;ZNF217_prot	8
