protein_A	protein_B
LMX1B	PBX1
LMX1B	PBX3
LMX1B	SSBP2
LMX1B	SSBP4
H2AFX	XPC
H2AFX	YBX1
GON4L	H2AFX
H2AFX	RPS3
H2AFX	PARP1
H2AFX	MCM4
H2AFX	XRCC6
H2AFX	RPL26L1
H2AFX	RBM19
H2AFX	MCM6
H2AFX	SSRP1
H2AFX	ZC3HAV1
H2AFX	NPM1
H2AFX	MIER1
H2AFX	KRR1
H2AFX	PHF14
MDM2	MDM4
MDM4	TP53
CLPB	MDM2
CLPB	TRIM11
FBXO42	RBPJ
FXR1	FXR2
GNPAT	HDAC10
HDAC10	SPG7
ID4	TCF4
ID1	TCF4
TCF3	TCF4
EML1	FBXO28
EML1	EML4
ERCC3	GTF2H1
ERCC3	ZNF143
ERCC3	MNAT1
KCTD3	SHKBP1
CCNB1	LRRFIP1
MCM3	MCM7
MCM3	MCM5
MCM3	MCM6
MCM3	MCM4
KLHL7	STAT5A
SHKBP1	TNFAIP3
DDX20	USO1
COPS2	COPS7B
COPS7B	CUL4B
COPS3	COPS7B
COPS6	COPS7B
COPS7B	DDB2
CIRBP	WDR77
CNBP	RPL26L1
CNBP	RBM28
CNBP	DDX21
CNBP	DHX30
CNBP	DDX27
CNBP	DDX31
CNBP	WHSC1
CNBP	ZC3HAV1
CNBP	PAK1IP1
CNBP	ZNF771
CNBP	NLE1
NR2F2	SALL2
CREB1	TRIM11
COL18A1	TRIM11
DMWD	ZNF581
POLR2E	POLR2G
POLR2E	POLR2L
FBXL17	KLHL20
KLHL20	PIR
KLHL20	TRIM33
KLHL20	RBM12
CORO7	KLHL20
CPSF1	CPSF4
MTMR3	PNO1
RBMS3	SART3
CBX7	PHC3
CBX7	PCGF6
CBX7	PCGF3
CLIC2	CLIC5
MRPL24	MRPL28
MRPL28	MRPL44
DNAJC7	IFT122
COL18A1	TAZ
RBBP4	ZNF219
RBBP7	ZNF219
HDAC1	ZNF219
HDAC2	ZNF219
CHD3	ZNF219
MTA2	ZNF219
MTA3	ZNF219
TRIM27	ZNF219
ZBTB2	ZNF219
EAF1	RPL26L1
EAF1	ELL
EAF1	GTF2F1
EAF1	KLHDC3
CPSF4	EAF1
HDAC7	TTF2
ZKSCAN1	ZNF397
ZNF24	ZNF397
ZNF397	ZNF444
ZNF174	ZNF397
RFWD2	ZNF397
ZKSCAN4	ZNF397
NPM1	RPL26L1
NPM1	RBM28
DDX21	NPM1
DDX56	NPM1
DDX27	NPM1
NPM1	REXO4
DDX31	NPM1
NPM1	TEX10
DDX51	NPM1
MED1	POLL
PPIE	XAB2
PPIE	PRPF19
HDAC1	HMG20B
HDAC2	HMG20B
HMG20B	RCOR3
COPS2	COPS6
COPS6	CUL4B
COPS3	COPS6
COPS6	DDB2
HOMER3	TP53
NFYA	NFYC
LGALS9	RNF13
LAMB1	LGALS9
LAMA4	LGALS9
LGALS9	LNPEP
PSMD7	RNF20
PSMD11	PSMD7
PSMD12	PSMD7
PSMD6	PSMD7
PSMD4	PSMD7
PSMD7	TRIM11
TAF5L	TAF6L
TAF5L	TAF9B
ANTXR1	ERF
DMWD	WDR6
HDAC1	WDR5
HDAC2	WDR5
KAT2B	WDR5
DR1	WDR5
PAXIP1	WDR5
PCGF6	WDR5
FOXK2	TFAP4
FOXK1	TFAP4
ATF1	TFAP4
CNOT3	TOB1
CNOT8	TOB1
FHL2	TOB1
HDAC11	MTMR3
FOXK2	IRF2
FOXK1	IRF2
JUN	JUNB
JUNB	JUND
ATF3	JUNB
COPS7B	JUNB
JUNB	RFWD2
FOSL2	JUNB
JUNB	PPP1R12A
HDAC1	PCGF6
HDAC2	PCGF6
PCGF6	TFDP1
CBX8	PCGF6
CREB1	TRIM5
ASCC1	ASCC3
HEXIM1	LARP7
CCNT2	HEXIM1
