geneSym	TCGA-A2-A0D0	TCGA-BH-A0HK	TCGA-C8-A12T	TCGA-A2-A0D2	TCGA-C8-A12U	TCGA-AR-A1AS	TCGA-A2-A0EV	TCGA-AN-A0AM	TCGA-D8-A142	TCGA-AO-A0JL	TCGA-BH-A0BV	TCGA-A2-A0T6	TCGA-E2-A158	TCGA-E2-A15A	TCGA-A2-A0T7	TCGA-C8-A12Q	TCGA-A8-A079	TCGA-A2-A0YF	TCGA-BH-A0DD	TCGA-BH-A0E9	TCGA-A2-A0YG	TCGA-E2-A150	TCGA-BH-A18N	TCGA-A2-A0YM	TCGA-BH-A0C7	TCGA-A2-A0SX	TCGA-A7-A0CD	TCGA-C8-A12W	TCGA-AN-A0AL	TCGA-A7-A0CE	TCGA-BH-A0C0	TCGA-A2-A0YC	TCGA-A7-A0CJ	TCGA-AO-A12F	TCGA-A2-A0YL	TCGA-A8-A06Z	TCGA-A2-A0D1	TCGA-A2-A0CM	TCGA-A8-A09G	TCGA-C8-A131	TCGA-C8-A134	TCGA-A8-A09I	TCGA-C8-A12L	TCGA-A2-A0EX	TCGA-AN-A0FL	TCGA-BH-A0DG	TCGA-AN-A0AS	TCGA-AO-A0JC	TCGA-A8-A08Z	TCGA-AR-A0TX	TCGA-AO-A0JE	TCGA-AN-A0AJ	TCGA-AO-A0JM	TCGA-C8-A12V	TCGA-A8-A08G	TCGA-AO-A12D	TCGA-AN-A04A	TCGA-BH-A0AV	TCGA-AO-A12B	TCGA-AO-A12E	TCGA-A8-A06N	TCGA-A2-A0T1	TCGA-AR-A0TR	TCGA-AO-A03O	TCGA-BH-A18R	TCGA-AR-A0TT	TCGA-AR-A1AQ	TCGA-AR-A0TV	TCGA-C8-A12Z	TCGA-AO-A0JJ	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-BH-A0HP	TCGA-AR-A1AP	TCGA-AN-A0FK	TCGA-AO-A0J6	TCGA-AR-A1AW	TCGA-AR-A1AV	TCGA-C8-A135	TCGA-BH-A0EE	TCGA-AO-A0J9	TCGA-BH-A0E0	TCGA-BH-A18U	TCGA-A2-A0YI	TCGA-A2-A0EQ	TCGA-BH-A18V	TCGA-A7-A13F	TCGA-BH-A0E1	TCGA-C8-A12P	TCGA-BH-A0C1	TCGA-A2-A0EY	TCGA-C8-A138	TCGA-E2-A154	TCGA-BH-A0BZ	TCGA-D8-A13Y	TCGA-A8-A076	TCGA-AO-A126	TCGA-E2-A10A	TCGA-BH-A18Q	TCGA-C8-A130	TCGA-E2-A159	TCGA-A2-A0T3	TCGA-A2-A0YD
AAAS	1.37589810874574	0.671555583292532	0.163771126519191	0.380815661909747	-0.136522921203532	0.164308404194911	0.187962465096309	-2.82949084839529e-05	0.115221742042979	-0.379173648857908	-0.250188817907149	0.133720876607901	0.282008313797909	0.0166294360365754	1.06495608408217	0.87078475167873	0.168030713676628	-0.266967058142985	0.777123113813984	0.0507252271303338	0.0808905702782853	1.23967525053087	0.223564870881033	-0.411889404698702	-0.101476197162973	-0.205937581950852	0.951104859409541	1.00443901927069	0.0253900883332822	0.220324518651937	0.914111306098649	0.00194431790204752	0.186171657701625	0.0145405753483934	0.965255624816319	-0.258962017554448	1.03599815920168	0.101726482189323	0.514536808524247	-0.0546189925918939	0.0288344848471421	0.619471577065097	0.321080853763219	-0.0214200471775653	0.234970100179176	0.0224637624904501	0.5064782946576	-0.0561695728740085	0.260845424775405	0.215341249731845	0.0570415658290223	0.345723727027079	0.209345616908723	0.101959146887073	0.437284622422885	0.109013297715804	-0.128023900321001	0.231770793455073	-0.0853638642513445	-0.117257681229208	-0.0168273443460388	0.951568976221198	0.35243901554494	0.047255360017617	0.401677264414571	-0.0172774470654761	1.48085569529125	-0.0681216478705105	1.00514277953164	-0.165521527645766	1.36187881966053	-0.105416591420663	0.51655207889977	-0.0769298225582511	0.124624505627277	0.0334042054159971	0.0663958301442835	-0.00516508720623432	0.0538572177843211	0.679455168722389	-0.195716722552059	0.469822441754322	0.023813864318162	0.525377288968844	0.215173494793519	0.50912341175466	0.439740576794389	0.00601530821509649	0.818171699317482	0.0603788942196517	0.0360659951054665	-0.0573251608806369	0.301269435102044	0.673450762835025	0.592184453896721	0.0653604909345479	0.169714260755062	0.868727677490691	0.25101092912121	-0.0400483658618703	0.893529065552151	0.0795840968198492	0.148629060389412
AATF	0.911073159781758	0.411236813755252	0.278268182695462	0.157037126406565	-0.366025262083671	-0.338575348356765	0.0959015894485519	0.102848887584142	0.284002718957247	0.131009586094676	-0.167997444591807	-0.106709659206613	0.712459144758375	0.0589502463816155	0.775269299124903	0.628270309459636	-0.00955280545524041	-0.12282577981306	-0.0055126362858231	-0.052214589327473	0.134720568368604	0.394919568735396	-0.157971105264573	-0.208580206451068	0.27220656483635	0.330395164998078	-0.34177159369636	0.157544037516523	0.0839841422272235	0.475800184359688	0.25780506525227	-0.318817553494589	-0.241863285297922	0.896855548031392	0.669722483285419	-0.078276236010029	0.658698559922021	0.412836634330017	0.207405416696953	-0.436818513496799	-0.331360327248317	0.614889870691527	0.407738477798077	-0.0453735697949354	-0.431006183354047	-0.184162997888521	0.435883325596672	-0.274720109939119	0.0117949042989573	0.538731256264032	0.127196283933222	0.486352971202683	-0.160733148588431	0.382319178207955	0.468355570434519	-0.245208833476065	0.119023435565045	0.105803194108197	-0.0103372665778666	-0.598385282159747	-0.0567670991053566	0.758633212863289	-0.027795289307607	0.107763609482288	0.949172341136607	0.282573979533996	1.49554008088438	0.215475028945311	0.671178459249804	-0.263953092663244	0.521778133380848	-0.199580299379732	-0.0886962155844742	-0.283247619466713	-0.13667241617679	0.0212165268764508	-0.0434079644815367	0.0114940309661506	0.411196790678423	0.834574960070514	-0.527530927149134	0.889799079302726	0.207682513567889	1.19920903118532	0.081142058755788	0.520801786629745	-0.149343325562574	-0.167155225176766	0.879354649538943	0.386162856280311	-0.375075559116035	-0.467099766354752	0.0904098188177824	0.976610751711886	0.989280242819169	-0.212642217042791	-0.0452058351917334	0.510100235368471	0.0236965768900482	0.543405344773608	0.382152645491149	0.0622306387208082	-0.0272016769693254
ABL1	-2.14772982836466	-1.72330335328705	-0.384243815651885	-0.0636002344882967	0.380016586781848	0.195191465080686	-0.357257453455069	0.0137903962848444	-0.00298836684095494	0.0538750882854235	-0.151350709114259	0.0130889956136392	0.0409882156984552	0.181068274362144	-2.01458594090642	-1.16436463414694	-0.127032795021043	0.148813761273319	-0.584960572473325	0.340389508664662	0.251619721562394	-1.0409741890608	0.00518172239740375	0.434004271500934	-0.2627726759397	0.127921891172312	-0.0789361380895302	0.0857179216861985	0.0374901207465276	-0.179840571634494	-1.34149779991413	0.187383339013894	-0.0792522998619663	0.0368673121139846	-0.288206542390712	-0.781480735302731	-1.21368173704612	-0.344683031866337	-0.593773642004923	0.211921984184803	0.096272211869288	-1.7224556626646	0.316053741713911	0.18103049244304	-0.123539380032273	0.150986052129612	-0.663293318870295	0.0562345718254516	-0.12349702549154	-0.873846340588548	-0.00944248397721523	-0.81375345816964	0.0574635932325276	-0.0184511318055591	-0.911297249145253	0.349998519705622	0.49266556467806	0.287889546928604	-0.337259091250367	-0.0138695928255051	0.178359031399461	-0.669806718291521	0.248367649210015	0.0980406651887811	-1.32282862660839	0.115654501425362	-2.47478601907713	0.121749092673605	-0.560680781958568	0.0416321199998132	-1.44558838585985	-0.181027031770065	-0.471856466039386	0.0603326573043185	0.0304212009720816	0.0969773821141193	0.346560782236895	-0.0118191933100347	-0.830620252231476	-2.39356945465118	0.255699535288179	-1.49180395460629	-0.354431691980435	-2.38581813695509	0.0198757062691573	-0.860128183378348	0.00638376410950483	-0.127683702539072	-0.587034694374714	-0.0601785752224919	0.187107965595338	0.273328866501121	-0.0888154674203252	-0.479622408754117	-2.48515261249261	0.29027660318261	0.435549605666178	-1.06795823839795	-0.187670858518291	-0.172259928181454	-0.955462412437052	0.105976816665267	-0.58255204489722
ABTB2	-1.16863166483932	0.829343138266864	0.376394676799162	1.19452362414719	-0.0851159666133179	-0.250326979677677	-0.994845786244989	-0.279741536560548	-0.614683721253116	NA	NA	-1.11789594222258	-0.372311238459824	0.15568798488568	-2.49756502907291	-3.05495093924308	-0.965812235000648	0.0397535742940885	-1.62667758773074	-0.771568044161819	NA	NA	NA	NA	NA	NA	-0.263431492014236	-0.397100693958834	0.269192460270531	0.842038180508355	-2.87486583482409	-0.33758638205813	0.185445221893631	0.628131574137958	-0.187134177388103	NA	NA	NA	-1.12853768888778	0.395464624985049	0.178683845968066	0.881635672036311	0.0267478333203788	0.133249592352629	1.63257015157073	0.0650169946462307	-0.595201087228652	0.253547141284952	-0.0952153788446193	-1.13962996098096	-0.564904125533563	-1.9239571814745	-1.72280483357121	0.115319256637432	0.219150138197006	0.415961059331145	NA	NA	-0.567846854907726	0.175132895291156	0.497001033039595	0.0566128444522767	-0.944176408330952	-0.128262345243417	-0.202656400759463	-0.156140978082539	0.908393051152646	-0.315944252447996	-1.72502788853184	-0.354702369828949	NA	NA	NA	0.284498440307365	-0.205936800033303	0.284659931934101	0.0107219319621599	0.123131878723589	-0.908188629514705	NA	NA	NA	NA	NA	NA	-0.6566362885006	-0.436368419455097	-0.648639528113945	-1.79824896558915	-1.47568042400555	-0.172656417289469	NA	NA	NA	0.146156363385478	-0.165274289202199	0.348668302496123	0.452372234341255	-0.0932402072635007	-0.13369858451569	-0.591783351120276	0.340891224912778	-0.121837136625474
ADARB1	-1.16609082951809	-0.706812465578514	-0.161783913705469	0.150958014429219	0.0151516302343684	-0.370784006973246	0.171482222057457	0.103662590622743	0.195715870791349	0.342938704304634	0.0978114873465899	-0.151557754815642	-0.165244401801168	0.0287931493883815	-1.43943314015087	-1.5152472406591	0.00411650561167472	0.161441040058396	-0.0517342231382064	0.238966029709734	0.145022036008689	-0.498333168050606	0.123470221069402	0.291661128842262	0.26577130281314	0.241830008770548	0.110143508950542	0.0291068372819179	-0.0594073224707959	-0.0545002010607717	0.170663255266868	-0.0142481305870105	0.479461104866243	-0.295931066700142	-0.563691169013078	-0.255715033923732	0.0578679293982132	0.389917025632698	-0.13746108036958	0.250528778798993	0.441280060590093	-0.494774831202128	-0.318449440774007	0.318603234947153	-0.442888326874302	0.113505064474871	-0.18177936276159	0.109238788393004	-0.192102124716044	-0.319153761494081	0.257695535773336	-0.274864500257489	0.204679498324343	-0.168447948777617	-0.649050250385714	0.245013637094319	0.0927018422083617	-0.138672467355745	-0.0576122773542693	-0.351920396316406	0.192807333260505	-0.393686350060606	-0.116821439850445	0.0528879137481648	-0.189496039229309	0.127222803760142	0.188223501354754	0.184619233242465	-0.301315506069455	0.113916024020888	-1.52018325652944	0.0174657454079124	-1.22054618820921	0.0161170536323184	0.148466147384919	0.378427194577028	-0.0787960383005109	-0.00077324487967867	-0.110581886175838	-1.22569853866878	-0.0589045115510125	-0.539124070402307	-0.169715839885673	-0.72065857381456	0.289635935979127	-0.0645787226945268	-0.176930265485066	0.20069622990507	-0.380159546595681	-0.0968120723448134	0.490055162998946	0.0675242146620844	-0.162921780809982	-0.469522333918056	-0.465670779231259	0.257498119272562	0.383660765358573	-1.50181693014484	0.14247002803823	-0.0488208129039498	-0.948733024779385	0.17792900327102	-0.357434372108241
AES	-0.712074138732012	-0.373376376815415	0.102752516854059	-0.16833547635711	-0.0962136269862874	-0.429097391430285	-0.323915135873523	0.0558726812361009	-0.130094313216789	0.27365867198958	0.404784078240039	-0.0265582111283336	-0.248567312219862	-0.17190946625013	0.953958360105787	-0.280818073293262	0.550766727111123	0.285085907002417	0.891917886020949	0.0159081684412757	-0.00875039250363019	0.7053607140962	0.360611032659007	-0.434245241680181	0.305027752518688	-0.585150856907596	0.641342431520604	1.28977623555719	-0.481566341450192	0.227350583129881	1.09036935850909	0.11871593741529	0.671730085633919	0.0614183086843033	0.490414208073345	-0.0486387723654786	1.31949923803914	-0.297967870491331	0.108736914728277	-0.366633864222967	-0.152485667958069	-0.339761543049039	0.277094836527315	-0.0201309738516579	-0.524002755365595	0.327807839074736	-0.325626764175977	0.0380893890575503	0.257565123636895	0.0121426411139469	-0.152500453388939	0.0740417848673675	-0.0181371810750773	-0.485618267823886	0.309523564692524	-0.20258180132105	0.413921227773622	-0.128025122458214	0.568188104338147	-0.228899847430186	0.0559543119430051	-0.069904948909663	0.0315510784683374	-0.0512754268220604	0.941775508215132	-0.0322650086495713	1.24554362850989	0.192046886337624	-0.095124982990795	0.331645120264702	-1.31980056686104	-0.662770756603538	-0.791705579888631	-0.00394179880820088	0.300570709190505	-0.0943646745921862	-0.0800384254773477	-0.103494347474996	-0.058088950213903	-0.132705231519516	0.0669857606392911	0.105353248470886	-0.396560976544404	-1.49417213147991	0.445196618162647	-0.215962315999721	0.408469932277416	0.104189532921386	-0.381280729032391	-0.923867920116983	0.0534267768417624	-0.00964212262343295	-0.331441327948911	-0.445059039232691	-0.288698138882302	-0.0747195059404408	0.239565053911246	-0.0245272109478203	-0.54880927987501	-0.188570602712204	0.512467040620759	-0.162183701490168	0.256844791696531
AFAP1L1	1.57088269380669	0.91015903858464	0.17912526627775	0.275732435018771	0.0511315904329293	-0.219943550517502	0.543148808477865	-0.103159988873541	0.412440994423064	0.472832553963582	-0.0774365311470007	-0.360883882671721	-0.134869747779548	0.0803979905478368	1.36173155731088	0.746757812329294	-0.247033859207814	0.297562394973255	0.308927996160236	0.446651709925679	0.205747693820675	1.63246267590126	0.237879459546241	0.600417733179841	0.145328115762914	0.19694751225865	1.87471535317371	1.6202988053188	-0.145323427026223	0.018391078185477	-0.0308032442190147	0.0716179955900408	-0.212213865422235	0.131969679796557	0.744836234340464	0.0352178716654681	1.55431559105067	0.0138785817480263	0.0687853323192702	0.387380329324906	0.721245187619829	0.262483189537931	-0.205173832794723	-0.0982177129528894	0.308118795762636	0.093893818881796	-0.0255116660210879	0.0887286976558603	-0.0385288498189178	1.11901984542207	0.0439408703186147	-0.382490586639178	-0.205554218605488	0.373045031938581	-0.134791806802118	-0.226747092127958	0.115134717285305	0.77074508681305	-0.0957060645524456	0.0548986134986287	0.278937200591109	-0.532432341836403	-0.616110773953554	-0.5875049008201	0.441910468419569	-0.466302668781046	1.10374693506054	-0.0927083956915113	-1.40019295920689	0.44391682381482	NA	NA	NA	-0.245558725086887	0.15366720613554	0.497917882705803	-0.506119721849431	0.231110869992985	0.478736800215267	-3.21803115841377	0.0833209902693052	-2.31606398422796	NA	NA	NA	-0.10239179942072	0.241656135651084	0.486210073637655	0.426787499288313	-0.374774112886534	-0.206190943996311	-0.00403143220261834	-0.0165671524989427	0.4871183915681	1.14390491192081	-0.0186287660705958	-0.0765485105447298	0.0561131613812489	-0.186174527748648	0.146052095856289	0.875769897978411	0.36905089397109	0.426592279903386
AHR	1.12715295579446	0.23762978613168	0.261677499398371	-0.312220640463848	-0.0725625433539895	-0.114178021512083	0.0369693063580324	-0.0159803776362934	0.0333259211261864	-0.620587199674138	-0.727259268391201	0.638434281313634	-0.531559982712746	0.201581844221499	0.44653555242321	0.60370657287632	-0.100223911104891	0.165113016195203	-0.303789685923191	0.148388207188829	0.291017712478408	1.18234615330479	-0.305433375521845	-0.0642767457185766	0.196540154919675	0.185472593957242	-0.390080803785401	0.324303753128107	0.794053633190046	0.116864976437283	-0.598893182242722	0.270626579487393	-0.0771554168317349	-0.724555867729179	0.445675149394217	-0.131503316401614	-1.72854826269275	0.123055804357837	-0.504706293825193	-0.217583087234415	-0.19175000812277	0.206735765964873	0.274511885142374	0.42677027282399	-0.172860118917964	0.157022742646057	0.747111022843649	-0.0293093906501978	0.0711633451784564	0.637962132370733	0.10834882040665	0.497565237398321	0.20243777587962	0.70148415724583	0.136665553104627	-0.232779588168919	-0.23049442878097	0.320356182145588	-0.378214693496621	0.398289216511533	0.0340570718157092	-0.172706812946174	-1.04173196117295	-0.186589062422631	-0.851910915115283	0.417125061415767	1.50123349628619	-0.160082242320642	0.884027050735018	0.341184344727764	-0.436638603512277	0.174459083205461	-0.132053535039062	0.713217045168328	-0.089133518862141	0.019316914121609	0.0697917950291092	-0.345694710586288	0.0293194513527531	0.532463541602521	0.117555303786172	1.13454465774881	0.386457491257302	0.330302163908655	0.158857000032293	0.302933365993003	-0.270071541545405	0.690240524798907	0.551019581771618	0.747625612430925	-0.0190577577731247	0.205167275367024	0.199480775109727	-0.0148963858360629	-0.799078581759321	0.298048579663523	0.118252622449293	0.255199331448215	0.255504912724302	-0.263913920854991	-0.116307164790379	-0.465688061472105	-0.116805415104157
AIP	0.0997137577027687	0.336554462520227	0.167801871194181	0.139216581712827	0.016233555234141	-0.236328417022115	0.251201831934906	0.0203178070364999	0.0196177488579606	-0.0440884161143775	0.984519887117467	0.127117250483402	-0.0293403008139329	0.78458344895294	0.916211282029771	1.61160683024819	-0.180941130120218	0.136046239418089	0.576766641930034	0.0781075420707437	-0.258795728726267	0.0219363982023562	0.0893336697154995	-0.0790410825916456	0.438954821716467	0.45719492725836	0.180998713547963	0.779287650874158	0.00173661227790395	0.0274521912577418	1.22283821537058	0.299345814485941	0.0717595879804327	0.895847257808597	0.474971938208698	-0.539491799091393	0.386019655078932	0.00733648427025468	-0.265776365255654	0.00326262220234126	0.1431260171433	0.312402363326374	0.328158200259448	0.107416225171854	-0.397555431563105	-0.109157727719264	0.531366336744427	-0.112184571606547	0.0624542582552852	0.166388804311367	0.346520613288543	0.438719443307	-0.235726996372282	0.21502379225523	0.582602475594188	-0.131023382926581	-0.360301399408622	0.122933401649853	-0.260477410525551	0.320325655105496	-0.192119216908316	0.247445396428182	-0.610280919169419	-0.0323532237234875	0.0167160776752746	0.0820141865410042	0.89536932970494	0.122619079432647	0.407372932900179	0.154479113471689	0.135875474304326	0.192054687462349	0.0427181875179963	-0.182401754699149	-0.112995860667335	0.0111506190721706	0.117655386180711	-0.287799419841933	0.67804243248987	0.23917067564649	-0.168729784497609	-0.0638340430339071	0.197120930292952	0.119593005653402	0.0519445360919444	0.317606893278644	-0.288075053141994	-0.0046466046860596	-0.0310142379434615	0.0684639562197769	-0.103988774804101	0.857441317173885	-0.155310086489669	0.417113183399871	0.620705488822607	-0.0810906074023139	-0.506250134349091	0.391583111438703	0.223377044760191	0.209906274396621	0.29723553720885	-0.311127807885879	0.262895997677835
AKAP13	-0.819885072153435	-0.605257072510835	-0.133881510884735	0.0634965350177423	0.187631649960357	-0.142806647988769	-0.0585178795315524	0.123415982419704	-0.0769069062335154	0.0305417169556341	-0.0186132147947291	-0.0187200347711158	0.72222764133555	0.0848042716639661	-0.439577612333145	-0.310372097328229	-0.0754707867477255	-0.0421871257500063	-0.327489083963101	-0.132038060188245	-0.0804843285865006	-0.316859786009025	-0.0895117073841726	0.109434747949214	0.102878455949354	0.175129042997466	-0.465469068773614	-0.407611474967468	0.751725502216432	0.0325267967223774	-0.258322564449706	-0.0861908720138478	0.0953085006019772	0.242592861384401	-0.060581594149627	-0.197921864753381	-0.437541872619671	0.0489980555472313	-0.192174234434135	0.181507178384462	0.0360777266259226	-0.520353324484682	0.319314004724744	0.196676060812352	0.114455002123927	0.196617163323856	-0.28152956875441	-0.0098808414954798	-0.0448210709919956	-0.209160551299462	0.194121134755995	-0.0908911086658464	-0.0200991543116758	0.161479575735326	-0.112854587854153	-0.0473560491539398	0.55925847648362	0.220920481238463	-0.400509173277198	-0.29451379111715	-0.294722623294667	-0.385544038527667	-0.523952748081909	-0.0157020189714464	-0.194154867877969	0.52509876673537	-0.943335643876694	-0.180482845389302	-0.0946940410944952	0.0401559770132642	-0.770364645894642	0.419271871665251	-0.395539952968853	0.00914819429504568	-0.307213163028331	-0.156015513591167	-0.103153058184355	0.22920909670068	-0.075120967657356	-0.0476646937908323	-0.166121943216852	-0.217212949066311	-0.0809403195439309	-0.330106108948989	0.0241994387637676	-0.212033354562917	0.0147189896492782	-0.139664241809603	-0.280581502782694	-0.106571260136993	-0.113887754042333	-0.0230698966212693	-0.2049614036369	-0.539753306716794	-0.547055111100123	-0.121048848972985	0.248020112004643	-0.117722565677807	0.190709745716426	0.134433042743315	-0.798145684018368	0.0243083056234393	-0.248644109677032
