TF	genetarget
AAAS	APRT
ABTB2	CCNB2
ABTB2	CRYBB1
ABTB2	CRYBB3
ABTB2	DNASE1
ABTB2	DOCK6
ABTB2	DOT1L
ABTB2	EIF4B
ABTB2	GJC2
ABTB2	GPR31
ABTB2	LHX6
ABTB2	MRPL12
ABTB2	PGAM5
ABTB2	ST3GAL3
ADARB1	ABCC8
ADARB1	AFF3
ADARB1	ALPI
ADARB1	APOA4
ADARB1	ARHGAP30
ADARB1	C2orf49
ADARB1	CADM4
ADARB1	CAPZB
ADARB1	CHRNA4
ADARB1	CNTROB
ADARB1	DMPK
ADARB1	DNAJC4
ADARB1	FILIP1
ADARB1	FOLR2
ADARB1	GLP1R
ADARB1	GMDS
ADARB1	GPLD1
ADARB1	GRAP2
ADARB1	HDAC10
ADARB1	HOXB8
ADARB1	HRH3
ADARB1	KIF6
ADARB1	KRT83
ADARB1	LAYN
ADARB1	LGI4
ADARB1	LMAN1
ADARB1	MAP1LC3C
ADARB1	MAST2
ADARB1	MBD6
ADARB1	MED30
ADARB1	MGEA5
ADARB1	MPPE1
ADARB1	MRPL55
ADARB1	MYO18A
ADARB1	NCF1
ADARB1	NCOA5
ADARB1	NKAIN4
ADARB1	NLRP4
ADARB1	NOS1
ADARB1	NPR1
ADARB1	NYX
ADARB1	PACS1
ADARB1	PAGE5
ADARB1	PCDH9
ADARB1	PWWP2B
ADARB1	RAB17
ADARB1	RCSD1
ADARB1	ROCK1
ADARB1	RPLP1
ADARB1	RSU1
ADARB1	SCUBE1
ADARB1	SFTPC
ADARB1	SIPA1L3
ADARB1	SLC1A2
ADARB1	STX5
ADARB1	SULT1C2
ADARB1	SYDE1
ADARB1	TBKBP1
ADARB1	TBL1XR1
ADARB1	TMCC1
ADARB1	TNFRSF25
ADARB1	TRPC7
ADARB1	TSSK6
ADARB1	UBTF
ADARB1	YOD1
ADARB1	ZBTB7B
ADARB1	ZDHHC1
ADARB1	ZNF414
ANKIB1	PPP1CB
ANKIB1	ZNF12
AIP	OTUB1
AIP	PCBP2
AIP	PPP1CA
AIP	TRAPPC2L
AIP	UBE2I
AIP	WBSCR16
AIP	AHR
AKT3	C20orf24
AKT3	SCRN3
AMT	GPRASP1
AMT	MCF2L
ANAPC1	AK2
ANAPC1	BID
ANAPC1	BMS1
ANAPC1	BUB3
ANAPC1	C14orf2
ANAPC1	C1QBP
ANAPC1	C2orf49
ANAPC1	C9orf114
ANAPC1	CCT7
ANAPC1	CCT8
ANAPC1	CDC123
ANAPC1	DDX46
ANAPC1	DDX47
ANAPC1	GINS2
ANAPC1	HMGN3
ANAPC1	MKI67
ANAPC1	MRPL11
ANAPC1	NOL11
ANAPC1	NOLC1
ANAPC1	PAICS
ANAPC1	PRIM1
ANAPC1	RAN
ANAPC1	RPLP0
ANAPC1	RPP40
ANAPC1	SAAL1
ANAPC1	SNRPB
ANAPC1	SOCS3
ANAPC1	TIMM10
ANAPC1	TTC27
ANAPC1	ZC3H8
ANK2	DIP2C
ANK2	SORBS1
