Gene	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D1	TCGA-A2-A0D2	TCGA-A2-A0EQ	TCGA-A2-A0EV	TCGA-A2-A0EX	TCGA-A2-A0EY	TCGA-A2-A0SX	TCGA-A2-A0T1	TCGA-A2-A0T3	TCGA-A2-A0T6	TCGA-A2-A0T7	TCGA-A2-A0YC	TCGA-A2-A0YD	TCGA-A2-A0YF	TCGA-A2-A0YG	TCGA-A2-A0YI	TCGA-A2-A0YL	TCGA-A2-A0YM	TCGA-A7-A0CD	TCGA-A7-A0CE	TCGA-A7-A0CJ	TCGA-A7-A13F	TCGA-A8-A06N	TCGA-A8-A06Z	TCGA-A8-A076	TCGA-A8-A079	TCGA-A8-A08G	TCGA-A8-A08Z	TCGA-A8-A09G	TCGA-A8-A09I	TCGA-AN-A04A	TCGA-AN-A0AJ	TCGA-AN-A0AL	TCGA-AN-A0AM	TCGA-AN-A0AS	TCGA-AN-A0FK	TCGA-AN-A0FL	TCGA-AO-A03O	TCGA-AO-A0J6	TCGA-AO-A0J9	TCGA-AO-A0JC	TCGA-AO-A0JE	TCGA-AO-A0JJ	TCGA-AO-A0JL	TCGA-AO-A0JM	TCGA-AO-A126	TCGA-AO-A12B	TCGA-AO-A12D	TCGA-AO-A12E	TCGA-AO-A12F	TCGA-AR-A0TR	TCGA-AR-A0TT	TCGA-AR-A0TV	TCGA-AR-A0TX	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-AR-A1AP	TCGA-AR-A1AQ	TCGA-AR-A1AS	TCGA-AR-A1AV	TCGA-AR-A1AW	TCGA-BH-A0AV	TCGA-BH-A0BV	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C1	TCGA-BH-A0C7	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0E9	TCGA-BH-A0EE	TCGA-BH-A0HK	TCGA-BH-A0HP	TCGA-BH-A18N	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-C8-A12L	TCGA-C8-A12P	TCGA-C8-A12Q	TCGA-C8-A12T	TCGA-C8-A12U	TCGA-C8-A12V	TCGA-C8-A12W	TCGA-C8-A12Z	TCGA-C8-A130	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A135	TCGA-C8-A138	TCGA-D8-A13Y	TCGA-D8-A142	TCGA-E2-A10A	TCGA-E2-A150	TCGA-E2-A154	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A15A
AAAS	-0.427373	2.66683	1.84142	0.250368	-0.151878	-0.217957	-0.726422	-0.586823	-1.17451	1.63639	-0.481143	-0.349677	1.91174	-0.669684	-0.313474	-1.32271	-0.477971	0.601422	1.66962	-1.67464	1.63526	-0.139369	-0.222306	0.393462	-0.715269	-1.30327	-0.515684	-0.266359	0.387498	-0.0409677	0.575097	0.829921	-0.985299	0.165151	-0.612748	-0.674474	0.555528	-0.371767	-0.103803	-0.55965	-0.593287	-1.14968	-0.810808	-0.535886	-1.07636	-1.59519	-0.16603	-0.262271	-0.881703	-0.409677	-0.959154	-0.639095	0.181458	-0.716362	-0.839832	-0.15147	2.63279	-0.9304	-0.861222	2.92171	-0.275398	-0.686948	-0.51317	-0.111573	-1.28196	0.961004	1.54543	-0.527781	-0.920831	1.21276	-0.619854	0.466513	-0.659798	-0.551224	0.975586	0.956402	0.579991	-0.1315	-0.0648498	0.301029	-0.616576	0.561951	0.105308	1.31245	1.44021	-0.276703	-1.00594	-0.426808	1.76478	1.76649	-0.771659	-0.807042	-0.604384	-0.543619	-0.813614	0.763657	-0.394601	1.43522	2.33603	0.0571981	0.0104243	1.49544	-0.634023
AATF	0.549917	1.74529	1.13979	-0.063799	-0.245887	-0.210476	-0.549424	-1.34045	0.352123	1.37955	-0.291259	-0.696582	1.41947	-1.20547	-0.505826	-0.735248	-0.117341	2.43659	1.16624	-0.94099	-1.26054	0.700979	-1.02084	-0.798869	-0.576759	-0.628364	-0.950736	-0.463482	0.683118	-0.412265	0.0570449	1.03468	-0.155002	0.726297	-0.239068	-0.193808	0.60521	-0.768469	-1.47464	-0.182016	-0.389661	-1.70622	-1.09967	-0.135393	-1.07384	-0.126244	-0.826195	-0.549021	-0.465365	-1.02887	-1.87621	1.71118	-0.50725	0.23739	0.0764056	0.851964	0.81129	-0.919397	-1.12013	3.14754	-1.25288	-0.412987	-0.544708	-0.18672	-0.843624	1.90253	0.177964	0.485921	0.212516	-0.453789	-0.882408	1.69425	-0.841603	-0.565837	1.56175	0.546078	-0.653364	-0.819568	-0.38371	1.8367	0.0577097	0.808947	0.537685	1.66919	1.06679	0.227059	-1.31873	0.476699	-0.0625828	1.16973	0.863178	-1.48858	-1.23556	0.545982	-1.56123	1.93292	0.240818	0.783272	0.50693	-0.223652	1.26877	0.476299	-0.29913
ABL1	-0.00499278	-2.56503	-1.23883	0.3941	0.512622	-0.0228464	0.741436	0.750065	0.66603	-0.466616	0.634872	0.502986	-2.37599	0.750456	-0.342729	0.695694	0.841662	-2.90308	0.0751948	1.10062	0.372325	0.229057	0.371876	0.493466	0.737643	-0.625176	0.896548	0.304036	-0.809494	0.309056	-0.358662	-1.96121	1.18391	-0.670998	0.537632	0.503982	-0.457368	0.527595	0.308996	0.623604	0.622094	0.847454	0.564246	0.470995	0.543513	0.560896	0.565991	1.10281	0.00554802	0.981344	0.464709	0.536748	0.837044	0.648613	0.657266	-0.75632	-1.5681	0.227373	0.570065	-3.0294	0.761542	0.467621	0.976463	0.893159	0.269508	-0.196585	-1.42031	0.398958	0.111307	-0.346148	0.698778	-1.63372	0.303111	0.9677	-2.91408	-1.96241	-0.185559	0.491759	0.217939	-1.3938	-0.0188343	-0.736842	0.933148	-0.349093	-1.16881	-0.0611628	1.02396	0.458204	0.606108	-0.311675	0.23982	0.785297	0.621093	-0.694946	0.872485	-3.04412	0.480159	-1.03193	-0.993615	0.358298	0.542599	-0.872202	0.74149
ADARB1	1.17788	-2.35728	0.423486	0.634982	0.95005	0.681611	1.01586	1.40539	0.841438	-0.602421	0.696258	-0.0523182	-2.9783	0.259642	-0.520059	0.658798	0.621495	-1.34528	-0.988663	0.954651	0.542253	0.168191	1.38132	-0.109963	0.730061	-0.288958	0.877035	0.301365	-1.18259	-0.144433	-0.0202913	-0.832089	0.502627	-0.332465	0.157043	0.527529	-0.12098	0.62932	-0.714206	0.412171	1.15178	0.158185	0.540198	0.877483	0.550824	1.07115	0.757034	1.16367	0.161121	0.848671	-0.507531	-0.380327	0.0266008	0.581056	0.711458	-0.433087	-3.16176	0.331694	0.32863	0.719647	-0.550389	0.290256	0.112993	-0.0230435	0.514235	-0.774717	0.679751	0.0720611	0.895831	0.174476	0.54989	-0.932848	0.747984	0.834931	-2.49271	-1.31383	-2.481	0.572531	0.615697	-0.138512	-0.0935724	0.145294	-0.431487	-0.571689	-3.15055	-0.0755515	0.326437	-0.0906918	0.358142	-0.39256	0.181095	0.861201	1.29458	0.0407768	0.445424	-0.765966	0.736669	-3.12004	-0.840173	-0.0781367	-0.0834136	-1.86346	0.357429
AES	-0.660079	-1.52789	2.72951	-0.38842	0.897308	-0.714455	-0.0778399	0.0763089	-1.2619	-0.182147	-0.375528	-0.0913089	1.96348	0.21313	0.502595	0.561777	-0.0539906	-3.16686	0.992067	-0.945664	1.30835	0.440786	1.37204	0.820343	0.0816056	-0.137581	-0.192237	1.11854	0.612989	0.504104	0.192218	-0.747663	0.831767	0.11951	-1.04483	0.0814346	-0.718042	0.594228	-1.13376	-0.143107	-0.233405	0.104723	0.0441676	-0.355236	0.659348	0.53783	-0.0736617	0.466383	1.15505	-0.460187	-0.515339	0.0930561	0.0304658	-0.103268	0.366803	-0.0102068	-2.80145	-1.42457	-0.0439136	2.57453	-0.934877	-0.252538	-0.203383	-0.303945	0.812619	-0.968326	2.24934	-1.97173	0.603568	1.83346	0.651306	0.185127	0.182688	-0.00231572	-0.313752	-0.818107	-1.69476	0.720049	-1.18575	1.93795	-0.866693	-0.488227	0.545031	-0.834671	-0.62414	0.179677	-0.23728	-1.05332	2.66722	-0.234999	-0.430825	-0.803977	-0.355205	-0.157385	-0.0558593	-0.640654	-0.308281	-0.0870528	1.44251	-0.730227	-0.556555	1.03828	-0.395909
AFAP1L1	-0.22786	2.10923	2.08436	0.165187	-0.192451	0.566583	-0.396118	-0.558188	0.0469293	-1.04788	0.305259	-0.790384	1.79529	-0.141192	0.39163	0.197954	0.0601385	0.529231	0.869318	0.652544	2.56528	-0.221087	-0.567228	0.114038	0.169997	-0.195829	-0.276654	-0.619493	-0.451016	-0.306524	-0.145444	0.145299	-0.0758729	-0.822816	-0.466824	-0.403537	-0.286985	-0.0180351	0.213799	-1.13055	0.49869	-0.123626	-0.115509	-0.182736	0.417634	0.461037	-0.557232	-0.363592	-0.392348	-0.589043	-0.166288	-0.0506034	-1.17348	-0.948619	-0.387849	1.43097	0.289448	-0.0969514	-0.617279	1.40805	-0.57883	0.098209	-1.00839	0.908208	-0.364925	0.48248	-0.294928	-0.811233	-0.0305522	0.215014	-0.107756	-3.72514	0.481117	0.421739	-5.079	1.11747	0.176979	0.108369	-0.528143	0.414622	-0.0150764	-0.402383	-0.556661	0.391923	0.872203	0.0201779	-0.171943	0.311254	2.1834	-2.3504	-0.0294655	0.332772	0.833908	0.469899	-0.254743	1.46833	0.370388	-0.164465	2.20166	-0.273559	-0.451133	1.06585	-0.128013
AHR	0.0757196	2.16438	-3.77587	-0.829714	0.150191	-0.103352	0.707487	-0.219896	0.205555	-0.539506	-1.14895	1.14778	0.748601	0.382687	-0.423224	0.163204	0.425103	0.50682	0.746811	-0.313957	-0.991673	0.0628419	-0.340747	-0.742038	-0.10941	-0.453798	0.439728	-0.388732	0.10403	-0.0322237	-1.23011	0.249785	-0.659712	0.85475	1.47149	-0.213494	1.37384	-0.365663	-0.539825	-0.568383	-0.140071	0.0642778	-0.24122	0.0451271	0.529456	-1.47116	0.240845	0.0657283	-0.96699	-0.664466	0.648242	-1.68743	-2.3472	0.687423	-0.513246	1.14679	-1.08852	0.182645	1.30333	2.94251	-0.417759	-0.899344	-0.0350767	0.486131	-1.69305	-0.211239	-1.42603	1.37491	0.228577	-0.812176	0.146375	2.17975	1.25554	0.128414	0.927343	0.314049	-0.454942	-0.815595	0.351232	-1.95234	0.623631	0.449889	0.390769	0.965942	1.07554	0.364071	-0.331193	1.27893	0.494342	1.65864	-0.729229	-0.632855	-0.579119	-0.119265	0.246523	-1.84244	-0.110931	0.350596	2.27919	0.234694	-1.28597	-0.422188	0.239064
AIP	-0.410668	-0.159403	0.619346	-0.0519557	-0.289335	0.252643	-0.138452	-0.713472	0.812943	0.242426	-1.27689	-0.0848658	2.06146	0.383594	0.284451	-0.060579	-1.13455	-0.105332	0.861296	-0.645615	0.0616913	-0.355954	-0.235438	-1.21419	-0.953186	-1.89804	-0.651189	-0.922782	1.15405	-0.260749	-1.15353	0.419108	-1.41064	0.762689	-0.4259	-0.375359	1.01469	-0.737971	-1.51197	-0.518624	-0.400294	-0.889567	-0.735765	0.511909	-0.0104417	-0.550544	-1.0718	-1.80762	-1.13912	-0.787006	0.440659	2.00607	-2.09058	-0.207546	-0.0971007	0.0219525	-0.0610435	0.0917635	-0.926755	2.00477	-1.07343	-1.21344	-0.110602	-0.0962458	2.24726	0.703921	2.89549	-0.244402	0.76333	1.13818	-0.727532	-0.604252	-0.443262	-0.218172	0.219919	0.484802	-0.31443	-0.187637	0.17696	-0.385156	0.105544	0.433264	0.461964	-0.514982	3.95293	0.025796	-0.386468	0.154239	1.68903	0.677427	0.14032	-0.421749	-0.0413221	1.41365	1.90161	1.25769	-0.377263	0.634479	-0.370957	-0.853066	-0.510429	0.377854	1.70344
AKAP13	0.491109	-2.47902	-1.17205	0.54067	0.406339	0.123584	0.995922	-0.0656887	0.922267	-0.9943	0.406711	0.259626	-1.17901	0.0289885	-0.526331	0.179408	0.0484954	-0.804795	0.11653	0.697702	-1.26751	0.434805	0.649414	0.373932	-0.683842	-0.352945	-0.0901677	0.0656333	-0.062157	0.170404	-0.333298	-1.45512	2.23535	0.0129215	2.89327	0.745494	-0.638744	-0.726539	0.714863	0.269943	-0.209695	-0.244243	0.289842	0.987188	0.460884	0.428019	0.254912	1.17143	-1.04546	0.161739	-0.683129	1.15288	-1.46743	2.11858	-0.293333	-0.391363	-2.30975	1.75683	0.354889	-2.90102	-0.164543	1.10713	-0.0289939	1.0788	0.259991	-1.52144	-0.559415	-0.0406785	0.67529	-0.795849	0.99572	-0.418889	-0.153801	-0.127732	0.160684	-1.74535	-1.02847	0.0176368	0.975527	-0.340068	0.0469366	-0.401183	1.41514	-0.635503	-0.737338	-0.134034	0.965005	0.875609	-1.06973	-7.81723e-05	0.783154	0.94407	0.446943	0.0668291	0.244757	-1.5464	0.0607242	-0.0787973	-0.759515	-0.377009	2.79243	-2.40471	0.613507
AKT1	-0.84377	-1.12668	0.747626	-1.09663	-0.775506	0.0452373	0.0991524	-0.0586963	-0.573642	0.704358	0.148882	0.0296157	-0.833064	0.185617	-0.0492486	0.841124	2.08389	-0.321442	0.271315	0.538352	-2.19468	-0.479607	-0.710571	-0.997216	-0.75728	-1.51705	2.10786	-0.71262	0.382585	0.339634	2.20597	0.591895	1.12356	-1.34528	0.0702625	0.696926	0.841309	0.25547	1.64047	-0.847646	-0.310528	-0.414289	-0.463584	0.0335189	0.166635	-0.275284	2.7694	0.350216	0.201683	-0.355964	0.0314535	1.02622	-0.325385	0.283067	-1.27432	0.454705	0.242468	-0.654172	-0.624737	-1.03273	-0.00164491	-1.13089	-0.382888	-0.420117	1.06176	-0.807359	1.86248	-0.858135	-1.24288	0.212983	2.08745	-0.805619	0.39076	0.0603189	0.957628	-0.243558	-0.826477	-1.33405	0.02169	-0.0653777	0.243057	0.388612	-0.70912	-0.620098	1.59413	-0.113066	0.721828	-0.46669	-2.62709	0.861849	0.693199	-0.155979	-1.44922	2.09965	2.7905	-0.784594	0.265189	-1.08964	-1.48347	0.239878	0.707992	-0.335369	0.153512
