Gene	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D1	TCGA-A2-A0D2	TCGA-A2-A0EQ	TCGA-A2-A0EV	TCGA-A2-A0EX	TCGA-A2-A0EY	TCGA-A2-A0SX	TCGA-A2-A0T1	TCGA-A2-A0T3	TCGA-A2-A0T6	TCGA-A2-A0T7	TCGA-A2-A0YC	TCGA-A2-A0YD	TCGA-A2-A0YF	TCGA-A2-A0YG	TCGA-A2-A0YI	TCGA-A2-A0YL	TCGA-A2-A0YM	TCGA-A7-A0CD	TCGA-A7-A0CE	TCGA-A7-A0CJ	TCGA-A7-A13F	TCGA-A8-A06N	TCGA-A8-A06Z	TCGA-A8-A076	TCGA-A8-A079	TCGA-A8-A08G	TCGA-A8-A08Z	TCGA-A8-A09G	TCGA-A8-A09I	TCGA-AN-A04A	TCGA-AN-A0AJ	TCGA-AN-A0AL	TCGA-AN-A0AM	TCGA-AN-A0AS	TCGA-AN-A0FK	TCGA-AN-A0FL	TCGA-AO-A03O	TCGA-AO-A0J6	TCGA-AO-A0J9	TCGA-AO-A0JC	TCGA-AO-A0JE	TCGA-AO-A0JJ	TCGA-AO-A0JL	TCGA-AO-A0JM	TCGA-AO-A126	TCGA-AO-A12B	TCGA-AO-A12D	TCGA-AO-A12E	TCGA-AO-A12F	TCGA-AR-A0TR	TCGA-AR-A0TT	TCGA-AR-A0TV	TCGA-AR-A0TX	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-AR-A1AP	TCGA-AR-A1AQ	TCGA-AR-A1AS	TCGA-AR-A1AV	TCGA-AR-A1AW	TCGA-BH-A0AV	TCGA-BH-A0BV	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C1	TCGA-BH-A0C7	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0E9	TCGA-BH-A0EE	TCGA-BH-A0HK	TCGA-BH-A0HP	TCGA-BH-A18N	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-C8-A12L	TCGA-C8-A12P	TCGA-C8-A12Q	TCGA-C8-A12T	TCGA-C8-A12U	TCGA-C8-A12V	TCGA-C8-A12W	TCGA-C8-A12Z	TCGA-C8-A130	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A135	TCGA-C8-A138	TCGA-D8-A13Y	TCGA-D8-A142	TCGA-E2-A10A	TCGA-E2-A150	TCGA-E2-A154	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A15A
AAAS	0.101726	1.3759	1.036	0.380816	0.215173	0.187962	-0.02142	0.036066	-0.205938	0.951569	0.0795841	0.133721	1.06496	0.00194432	0.148629	-0.266967	0.0808906	0.525377	0.965256	-0.411889	0.951105	0.220325	0.186172	0.439741	-0.0168273	-0.258962	0.0653605	0.168031	0.437285	0.260845	0.514537	0.619472	-0.128024	0.345724	0.0253901	-2.82949e-05	0.506478	0.124625	0.23497	0.0472554	0.0334042	-0.195717	-0.0561696	0.0570416	-0.165522	-0.379174	0.209346	0.169714	-0.0853639	0.109013	-0.117258	0.0145406	0.352439	-0.0172774	-0.0681216	0.215341	1.36188	-0.105417	-0.0769298	1.48086	0.164308	-0.00516509	0.0663958	0.231771	-0.250189	0.673451	0.914111	0.0603789	-0.101476	0.777123	0.0224638	0.469822	0.00601531	0.0507252	0.679455	0.671556	0.516552	0.223565	0.251011	0.401677	0.0238139	0.509123	0.321081	0.818172	0.870785	0.163771	-0.136523	0.101959	1.00444	1.00514	-0.0400484	-0.054619	0.0288345	0.0538572	-0.0573252	0.592184	0.115222	0.868728	1.23968	0.301269	0.282008	0.893529	0.0166294
AATF	0.412837	0.911073	0.658699	0.157037	0.0811421	0.0959016	-0.0453736	-0.375076	0.330395	0.758633	0.0622306	-0.10671	0.775269	-0.318818	-0.0272017	-0.122826	0.134721	1.19921	0.669722	-0.20858	-0.341772	0.4758	-0.241863	-0.149343	-0.0567671	-0.0782762	-0.212642	-0.00955281	0.468356	0.0117949	0.207405	0.61489	0.119023	0.486353	0.0839841	0.102849	0.435883	-0.136672	-0.431006	0.107764	0.0212165	-0.527531	-0.27472	0.127196	-0.263953	0.13101	-0.160733	-0.0452058	-0.0103373	-0.245209	-0.598385	0.896856	-0.0277953	0.282574	0.215475	0.538731	0.521778	-0.19958	-0.283248	1.49554	-0.338575	0.011494	-0.043408	0.105803	-0.167997	0.976611	0.257805	0.386163	0.272207	-0.00551264	-0.184163	0.889799	-0.167155	-0.0522146	0.834575	0.411237	-0.0886962	-0.157971	0.0236966	0.949172	0.207683	0.520802	0.407738	0.879355	0.62827	0.278268	-0.366025	0.382319	0.157544	0.671178	0.543405	-0.436819	-0.33136	0.411197	-0.4671	0.98928	0.284003	0.5101	0.39492	0.0904098	0.712459	0.382153	0.0589502
ABL1	-0.344683	-2.14773	-1.21368	-0.0636002	0.0198757	-0.357257	0.18103	0.187108	0.127922	-0.669807	0.105977	0.013089	-2.01459	0.187383	-0.582552	0.148814	0.25162	-2.38582	-0.288207	0.434004	-0.0789361	-0.179841	-0.0792523	0.00638376	0.178359	-0.781481	0.290277	-0.127033	-0.911297	-0.123497	-0.593774	-1.72246	0.492666	-0.813753	0.0374901	0.0137904	-0.663293	0.0304212	-0.123539	0.0980407	0.0969774	0.2557	0.0562346	-0.00944248	0.0416321	0.0538751	0.0574636	0.43555	-0.337259	0.349999	-0.0138696	0.0368673	0.248368	0.115655	0.121749	-0.873846	-1.44559	-0.181027	0.0603327	-2.47479	0.195191	-0.0118192	0.346561	0.28789	-0.151351	-0.479622	-1.3415	-0.0601786	-0.262773	-0.584961	0.150986	-1.4918	-0.127684	0.34039	-2.39357	-1.7233	-0.471856	0.00518172	-0.187671	-1.32283	-0.354432	-0.860128	0.316054	-0.587035	-1.16436	-0.384244	0.380017	-0.0184511	0.0857179	-0.560681	-0.17226	0.211922	0.0962722	-0.83062	0.273329	-2.48515	-0.00298837	-1.06796	-1.04097	-0.0888155	0.0409882	-0.955462	0.181068
ADARB1	0.389917	-1.16609	0.0578679	0.150958	0.289636	0.171482	0.318603	0.490055	0.24183	-0.393686	0.177929	-0.151558	-1.43943	-0.0142481	-0.357434	0.161441	0.145022	-0.720659	-0.563691	0.291661	0.110144	-0.0545002	0.479461	-0.17693	0.192807	-0.255715	0.257498	0.00411651	-0.64905	-0.192102	-0.137461	-0.494775	0.0927018	-0.274865	-0.0594073	0.103663	-0.181779	0.148466	-0.442888	0.0528879	0.378427	-0.0589045	0.109239	0.257696	0.113916	0.342939	0.204679	0.383661	-0.0576123	0.245014	-0.35192	-0.295931	-0.116821	0.127223	0.184619	-0.319154	-1.52018	0.0174657	0.0161171	0.188224	-0.370784	-0.000773245	-0.078796	-0.138672	0.0978115	-0.469522	0.170663	-0.0968121	0.265771	-0.0517342	0.113505	-0.539124	0.200696	0.238966	-1.2257	-0.706812	-1.22055	0.12347	0.14247	-0.189496	-0.169716	-0.0645787	-0.318449	-0.38016	-1.51525	-0.161784	0.0151516	-0.168448	0.0291068	-0.301316	-0.0488208	0.250529	0.44128	-0.110582	0.0675242	-0.465671	0.195716	-1.50182	-0.498333	-0.162922	-0.165244	-0.948733	0.0287931
AES	-0.297968	-0.712074	1.3195	-0.168335	0.445197	-0.323915	-0.020131	0.0534268	-0.585151	-0.0699049	-0.162184	-0.0265582	0.953958	0.118716	0.256845	0.285086	-0.00875039	-1.49417	0.490414	-0.434245	0.641342	0.227351	0.67173	0.40847	0.0559543	-0.0486388	-0.0747195	0.550767	0.309524	0.257565	0.108737	-0.339762	0.413921	0.0740418	-0.481566	0.0558727	-0.325627	0.300571	-0.524003	-0.0512754	-0.0943647	0.0669858	0.0380894	-0.1525	0.331645	0.273659	-0.0181372	0.239565	0.568188	-0.202582	-0.2289	0.0614183	0.0315511	-0.032265	0.192047	0.0121426	-1.3198	-0.662771	-0.0039418	1.24554	-0.429097	-0.103494	-0.0800384	-0.128025	0.404784	-0.445059	1.09037	-0.923868	0.305028	0.891918	0.327808	0.105353	0.10419	0.0159082	-0.132705	-0.373376	-0.791706	0.360611	-0.548809	0.941776	-0.396561	-0.215962	0.277095	-0.381281	-0.280818	0.102753	-0.0962136	-0.485618	1.28978	-0.095125	-0.188571	-0.366634	-0.152486	-0.058089	-0.00964212	-0.288698	-0.130094	-0.0245272	0.705361	-0.331441	-0.248567	0.512467	-0.171909
AFAP1L1	0.0138786	1.57088	1.55432	0.275732	0.0374685	0.543149	-0.0982177	-0.206191	0.196948	-0.532432	0.369051	-0.360884	1.36173	0.071618	0.426592	0.297562	0.205748	0.518264	0.744836	0.600418	1.87472	0.0183911	-0.212214	0.241656	0.278937	0.0352179	-0.0186288	-0.247034	-0.134792	-0.0385288	0.0687853	0.262483	0.115135	-0.382491	-0.145323	-0.10316	-0.0255117	0.153667	0.308119	-0.587505	0.497918	0.083321	0.0887287	0.0439409	0.443917	0.472833	-0.205554	-0.0765485	-0.0957061	-0.226747	0.0548986	0.13197	-0.616111	-0.466303	-0.0927084	1.11902	0.358517	0.101092	-0.245559	1.10375	-0.219944	0.231111	-0.50612	0.770745	-0.0774365	0.487118	-0.0308032	-0.374774	0.145328	0.308928	0.0938938	-2.31606	0.48621	0.446652	-3.21803	0.910159	0.283588	0.237879	-0.186175	0.44191	0.155638	-0.102392	-0.205174	0.426787	0.746758	0.179125	0.0511316	0.373045	1.6203	-1.40019	0.146052	0.38738	0.721245	0.478737	-0.00403143	1.1439	0.412441	0.0561132	1.63246	-0.0165672	-0.13487	0.87577	0.080398
AHR	0.123056	1.12715	-1.72855	-0.312221	0.158857	0.0369693	0.42677	-0.0190578	0.185473	-0.172707	-0.465688	0.638434	0.446536	0.270627	-0.116805	0.165113	0.291018	0.330302	0.445675	-0.0642767	-0.390081	0.116865	-0.0771554	-0.270072	0.0340571	-0.131503	0.298049	-0.100224	0.136666	0.0711633	-0.504706	0.206736	-0.230494	0.497565	0.794054	-0.0159804	0.747111	-0.0891335	-0.17286	-0.186589	0.0193169	0.117555	-0.0293094	0.108349	0.341184	-0.620587	0.202438	0.118253	-0.378215	-0.23278	0.398289	-0.724556	-1.04173	0.417125	-0.160082	0.637962	-0.436639	0.174459	0.713217	1.50123	-0.114178	-0.345695	0.0697918	0.320356	-0.727259	-0.0148964	-0.598893	0.747626	0.19654	-0.30379	0.157023	1.13454	0.690241	0.148388	0.532464	0.23763	-0.132054	-0.305433	0.255505	-0.851911	0.386457	0.302933	0.274512	0.55102	0.603707	0.261677	-0.0725625	0.701484	0.324304	0.884027	-0.263914	-0.217583	-0.19175	0.0293195	0.205167	-0.799079	0.0333259	0.255199	1.18235	0.199481	-0.53156	-0.116307	0.201582
AIP	0.00733648	0.0997138	0.38602	0.139217	0.0519445	0.251202	0.107416	-0.103989	0.457195	0.247445	-0.311128	0.127117	0.916211	0.299346	0.262896	0.136046	-0.258796	0.119593	0.474972	-0.0790411	0.180999	0.0274522	0.0717596	-0.288075	-0.192119	-0.539492	-0.0810906	-0.180941	0.582602	0.0624543	-0.265776	0.312402	-0.360301	0.438719	0.00173661	0.0203178	0.531366	-0.112996	-0.397555	-0.0323532	0.0111506	-0.16873	-0.112185	0.346521	0.154479	-0.0440884	-0.235727	-0.50625	-0.260477	-0.131023	0.320326	0.895847	-0.610281	0.0820142	0.122619	0.166389	0.135875	0.192055	-0.182402	0.895369	-0.236328	-0.287799	0.117655	0.122933	0.98452	0.417113	1.22284	0.068464	0.438955	0.576767	-0.109158	-0.063834	-0.0046466	0.0781075	0.239171	0.336554	0.0427182	0.0893337	0.223377	0.0167161	0.197121	0.317607	0.328158	-0.0310142	1.61161	0.167802	0.0162336	0.215024	0.779288	0.407373	0.209906	0.00326262	0.143126	0.678042	0.857441	0.620705	0.0196177	0.391583	0.0219364	-0.15531	-0.0293403	0.297236	0.784583
AKAP13	0.0489981	-0.819885	-0.437542	0.0634965	0.0241994	-0.0585179	0.196676	-0.113888	0.175129	-0.385544	0.0243083	-0.01872	-0.439578	-0.0861909	-0.248644	-0.0421871	-0.0804843	-0.330106	-0.0605816	0.109435	-0.465469	0.0325268	0.0953085	0.014719	-0.294723	-0.197922	-0.121049	-0.0754708	-0.112855	-0.0448211	-0.192174	-0.520353	0.559258	-0.0908911	0.751726	0.123416	-0.28153	-0.307213	0.114455	-0.015702	-0.156016	-0.166122	-0.00988084	0.194121	0.040156	0.0305417	-0.0200992	0.24802	-0.400509	-0.047356	-0.294514	0.242593	-0.523953	0.525099	-0.180483	-0.209161	-0.770365	0.419272	0.00914819	-0.943336	-0.142807	0.229209	-0.103153	0.22092	-0.0186132	-0.539753	-0.258323	-0.106571	0.102878	-0.327489	0.196617	-0.217213	-0.139664	-0.132038	-0.0476647	-0.605257	-0.39554	-0.0895117	0.19071	-0.194155	-0.0809403	-0.212033	0.319314	-0.280582	-0.310372	-0.133882	0.187632	0.16148	-0.407611	-0.094694	0.134433	0.181507	0.0360777	-0.075121	-0.0230699	-0.547055	-0.0769069	-0.117723	-0.31686	-0.204961	0.722228	-0.798146	0.0848043
AKT1	-0.348723	-0.451342	0.228512	-0.44044	-0.323962	-0.0262603	-0.0067041	-0.0639593	-0.250741	0.212817	0.0113338	-0.0319266	-0.344839	0.0246586	-0.0605324	0.262426	0.713205	-0.159263	0.0557432	0.152603	-0.838726	-0.216633	-0.300409	-0.404381	-0.317351	-0.592938	0.721899	-0.301152	0.0961032	0.0805241	0.757484	0.172025	0.364873	-0.53063	-0.0171831	0.210122	0.262492	0.0499957	0.552366	-0.350129	-0.155304	-0.192941	-0.210821	-0.0305108	0.0177732	-0.14252	0.961854	0.0843621	0.030486	-0.171785	-0.03126	0.329566	-0.160693	0.0600059	-0.504892	0.122263	0.0452798	-0.279951	-0.269275	-0.417262	-0.0432655	-0.452869	-0.181551	-0.195054	0.342454	-0.335516	0.632893	-0.353933	-0.493489	0.0345847	0.714494	-0.334885	0.0990686	-0.0207899	0.304684	-0.131013	-0.34245	-0.526557	-0.0348014	-0.0663828	0.0454932	0.0982892	-0.299882	-0.267592	0.535558	-0.0836802	0.219154	-0.211948	-0.995574	0.269943	0.20877	-0.0992459	-0.568332	0.71892	0.969506	-0.327258	0.053521	-0.437904	-0.580757	0.0443404	0.214136	-0.164315	0.0130133
