Gene	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D1	TCGA-A2-A0D2	TCGA-A2-A0EQ	TCGA-A2-A0EV	TCGA-A2-A0EX	TCGA-A2-A0EY	TCGA-A2-A0SX	TCGA-A2-A0T1	TCGA-A2-A0T3	TCGA-A2-A0T6	TCGA-A2-A0T7	TCGA-A2-A0YC	TCGA-A2-A0YD	TCGA-A2-A0YF	TCGA-A2-A0YG	TCGA-A2-A0YI	TCGA-A2-A0YL	TCGA-A2-A0YM	TCGA-A7-A0CD	TCGA-A7-A0CE	TCGA-A7-A0CJ	TCGA-A7-A13F	TCGA-A8-A06N	TCGA-A8-A06Z	TCGA-A8-A076	TCGA-A8-A079	TCGA-A8-A08G	TCGA-A8-A08Z	TCGA-A8-A09G	TCGA-A8-A09I	TCGA-AN-A04A	TCGA-AN-A0AJ	TCGA-AN-A0AL	TCGA-AN-A0AM	TCGA-AN-A0AS	TCGA-AN-A0FK	TCGA-AN-A0FL	TCGA-AO-A03O	TCGA-AO-A0J6	TCGA-AO-A0J9	TCGA-AO-A0JC	TCGA-AO-A0JE	TCGA-AO-A0JJ	TCGA-AO-A0JL	TCGA-AO-A0JM	TCGA-AO-A126	TCGA-AO-A12B	TCGA-AO-A12D	TCGA-AO-A12E	TCGA-AO-A12F	TCGA-AR-A0TR	TCGA-AR-A0TT	TCGA-AR-A0TV	TCGA-AR-A0TX	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-AR-A1AP	TCGA-AR-A1AQ	TCGA-AR-A1AS	TCGA-AR-A1AV	TCGA-AR-A1AW	TCGA-BH-A0AV	TCGA-BH-A0BV	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C1	TCGA-BH-A0C7	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0E9	TCGA-BH-A0EE	TCGA-BH-A0HK	TCGA-BH-A0HP	TCGA-BH-A18N	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-C8-A12L	TCGA-C8-A12P	TCGA-C8-A12Q	TCGA-C8-A12T	TCGA-C8-A12U	TCGA-C8-A12V	TCGA-C8-A12W	TCGA-C8-A12Z	TCGA-C8-A130	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A135	TCGA-C8-A138	TCGA-D8-A13Y	TCGA-D8-A142	TCGA-E2-A10A	TCGA-E2-A150	TCGA-E2-A154	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A15A
NAT1	0.163328	-0.450451	-2.49705	-1.41499	1.94395	4.74346	3.59871	4.47346	-0.175357	1.4256	1.98313	5.06614	2.98594	6.88334	6.64287	6.5374	6.90174	6.56667	4.13126	-1.14423	5.07622	0.52131	4.2165	5.84388	-0.352263	6.69598	5.17697	5.55191	1.49745	2.89041	0.586603	6.73611	5.14477	2.57071	1.10845	0.851907	0.198956	7.72754	0.311004	4.77732	0.190223	4.81562	3.87772	2.63501	4.87468	0.868866	5.30256	1.70938	2.63948	1.08961	6.79723	-0.815948	7.24855	4.41472	2.14819	1.93713	0.818297	2.57285	4.42342	-0.626164	4.0396	7.39416	4.28868	-1.40271	3.73532	3.10366	5.30978	5.99094	6.36812	7.342	4.35249	-1.18165	7.7092	5.98823	1.94772	5.71498	3.11801	3.67214	0.541515	1.70298	10.6956	0.124121	2.23237	0.520881	1.59135	5.69501	5.27831	1.65582	2.22795	2.20515	4.8117	0.98536	-0.315522	0.969874	4.5801	1.9709	0.295629	5.6045	-0.998797	7.33293	-0.45233	1.85133	5.20702
SERPINA3	-4.77178	-0.756723	-7.30829	-0.411319	-5.78628	0.168048	-1.27216	-2.55626	-2.49118	-2.35034	-2.7596	-4.43709	-1.31765	-0.305544	-1.47607	-0.361582	-2.23033	0.380902	-0.882697	-1.36929	-2.98855	-0.958609	-0.0605346	0.0963532	-0.855943	0.100437	-3.22113	-0.157971	-1.70052	-4.12796	-6.80128	-0.365267	-0.744899	-2.35043	2.69852	-1.96745	-2.40002	-0.260892	-1.31337	-0.99341	-0.427612	-1.19224	-4.67048	-1.70547	-2.05613	-6.16121	-4.10749	-1.5797	-0.861485	-5.6667	0.338439	-4.84449	-0.965587	-5.61535	0.194939	-6.00859	-2.74229	-1.13336	-0.692082	-4.3695	-1.15131	0.262218	-1.66103	-0.60873	1.95836	-3.29405	-1.52892	-1.38605	-0.675053	3.00111	-2.43282	-4.3313	-0.136685	1.20967	-2.11244	-7.19647	-1.12772	0.773537	-2.91636	-5.21028	-2.08184	-3.35599	-1.54652	-2.25938	-3.45783	-1.63569	-1.24553	-1.13436	-2.92105	-1.76206	-3.56081	-3.1612	-1.34947	-3.49796	-3.01781	-6.37467	-5.42139	-2.80834	-0.59326	0.836828	-2.92432	-5.8811	-1.81101
AANAT	-2.21549	-4.34407	-4.23743	-3.16246	-5.30039	-4.73149	-5.42893	-4.21721	-3.67514	-4.31389	-3.96176	-5.27312	-4.48383	-5.30346	-4.55496	-4.77454	-6.10199	-4.70811	-4.51228	-5.65598	-7.31001	-4.32357	-4.86004	-5.9096	-3.83881	-5.2282	-5.32019	-4.38828	-2.41017	-6.10149	-7.31538	-5.56307	-7.27023	-5.00204	-4.32469	-2.67795	-4.97556	-7.0134	-4.84984	-4.65726	-1.54211	-6.2913	-1.27769	-6.97446	-4.96255	-4.67531	-4.84398	-5.46304	-4.46305	-3.95841	-3.13231	-3.07849	-4.28704	-3.71441	-4.66966	-3.93773	-3.67143	-4.70058	-5.68192	-3.66121	-4.64269	-4.68929	-2.7601	-5.26238	-5.87542	-3.46023	-2.62799	-7.08998	-5.8426	-6.96007	-6.85381	-4.58786	-4.78961	-4.96621	-1.51462	-4.50472	-7.19641	-4.54554	-4.75239	-2.60891	-6.0878	-0.459813	-3.54605	-4.38388	-5.29386	-6.90468	-0.831189	-3.05654	-4.75708	-5.24938	-3.28136	-5.76277	-2.43582	-6.81941	-6.70184	-4.30381	-5.52046	-4.49237	-3.87555	-6.50382	-3.67943	-3.39521	-4.158
ABL1	3.92822	4.08416	3.84078	3.91028	4.4841	4.12094	4.09735	5.03913	4.03346	4.69746	4.67527	4.42637	4.53447	4.22917	4.49851	3.50879	4.83879	4.52605	4.44454	4.96689	4.08659	3.96257	3.9706	3.6969	3.68881	3.13002	4.25546	3.48359	4.02998	4.46822	4.60514	4.03696	4.48261	4.28544	3.81787	3.46936	4.01977	3.92661	3.4826	4.1072	3.51372	3.61788	3.51769	4.00398	3.80625	3.037	4.49638	3.96617	3.31587	3.86951	3.95182	4.15513	4.2993	4.33344	3.87293	4.36016	3.07332	3.19413	3.8374	3.7485	4.27693	4.16575	4.16539	4.5159	4.06279	4.09596	4.63118	4.62113	4.27843	4.30073	4.64548	3.2933	3.80697	4.61701	3.76617	3.56574	4.41219	3.94563	3.5006	4.23631	3.46509	4.07945	5.00488	3.91685	4.41589	4.08642	4.483	3.83719	4.19872	4.4769	3.33257	3.82422	3.42692	4.52547	3.5148	3.80237	4.06801	4.15152	3.35708	4.05107	3.8273	4.11884	3.68695
ABL2	2.45176	1.68084	1.3314	1.65342	1.73728	2.2591	1.23552	1.63625	2.46735	1.72757	2.32177	2.57724	2.68778	2.38909	3.2618	2.42861	2.32401	2.46865	2.61079	2.71805	2.59109	2.6754	2.01946	2.14907	2.34596	1.89452	2.12713	1.39767	2.46099	2.93466	1.84842	2.55977	1.91502	2.19852	1.78146	1.17414	2.18409	2.2249	1.26493	2.38975	1.88179	1.71365	1.6771	1.82814	1.65523	2.03869	2.15446	2.66968	1.53315	1.96404	1.76643	2.6425	2.63582	1.98073	1.7922	1.69867	1.61956	1.84633	1.73365	1.75626	1.77218	2.60702	2.55645	3.06894	2.27837	2.07461	1.66832	3.19587	2.30196	2.58492	2.3461	3.40912	2.46296	2.7619	0.949728	2.42469	2.09458	2.01578	2.57133	2.54823	1.83458	2.39601	2.77982	2.1715	2.4241	1.26244	0.681355	1.98066	2.17509	2.90977	2.3352	2.02642	2.18789	1.79715	1.57	2.07476	2.63876	2.20028	2.48126	2.25817	2.36471	2.21528	2.0145
ACAA1	3.17588	2.38058	2.13503	2.40756	2.9089	2.43954	2.84935	3.05828	1.87382	2.8326	2.06351	2.97421	2.39603	2.70017	2.5261	1.57357	2.6225	2.36086	2.17763	1.73161	2.69666	2.03128	2.58587	2.88113	2.78951	2.25469	2.5382	2.42706	2.45667	2.18197	3.48361	2.4344	2.45531	2.09882	2.94587	2.66788	2.59786	2.98111	2.23995	3.31927	2.34862	2.55893	3.04311	1.87047	2.79672	1.89921	2.15488	2.78917	3.67237	3.22918	2.5225	2.70627	3.05274	2.37783	3.02412	2.2359	3.35299	2.15974	3.23238	2.496	3.65603	2.92435	2.42803	1.9479	2.94807	2.51106	2.01264	2.80157	1.5765	1.77227	2.13896	2.80227	3.11054	3.15706	2.23635	3.11831	3.04359	3.97393	1.88042	2.03762	2.96982	1.7875	1.49865	3.27739	3.11329	3.21699	2.65146	2.53075	2.88466	2.03869	2.49626	2.90381	1.85834	2.57127	3.73736	2.11702	2.68645	2.40571	2.30056	3.02207	1.80959	2.75844	2.0158
ACADS	0.205679	2.00156	-0.107677	1.29924	1.07908	3.31195	2.41477	2.54224	2.89067	2.05393	1.32226	1.80384	3.63144	0.597491	2.42215	0.846307	2.22023	2.47872	2.75678	2.01647	3.77522	2.25866	-0.379124	2.85808	4.46922	2.79796	2.00575	2.55137	3.43714	1.94195	2.118	-0.153342	0.478167	2.48421	2.93011	-0.260758	1.15233	1.76248	2.37004	2.6963	2.71957	3.30971	2.90046	1.55892	3.29095	1.38164	3.01305	4.13078	2.41272	1.4799	4.31122	2.46245	3.63681	2.06961	3.60403	1.81067	3.24935	2.10653	1.67711	2.25465	2.54891	4.45213	2.56322	1.36451	2.24935	2.39066	1.9054	1.23597	2.41351	2.59884	1.54464	2.82899	3.0668	2.27945	1.71862	2.54294	2.57265	3.80756	2.05844	4.18031	1.75977	1.33252	1.81224	2.86047	2.4996	2.36824	-0.647954	2.11115	2.70873	1.27089	2.80222	1.69118	2.55403	1.41441	2.59594	1.85962	2.95208	1.71478	1.6087	2.22502	1.80634	2.03357	3.09061
ACAT2	2.78872	4.22104	3.45425	4.15679	4.04094	2.96575	2.22306	3.17292	3.41641	3.06682	2.73208	1.51868	1.84034	2.40734	2.09646	2.48841	2.83033	1.93107	2.48715	3.02797	2.03998	3.66171	3.00373	3.00911	1.51647	2.16694	2.679	3.07625	2.7815	2.14944	2.74359	3.54495	2.18924	3.39776	3.87591	2.82876	1.38984	3.01705	2.91855	3.778	1.99211	1.53976	2.62916	3.93969	2.46526	0.883003	3.97465	2.42705	2.81181	1.82531	2.8072	4.2352	1.56166	2.71659	2.95792	2.29757	3.45791	2.58091	3.05582	3.60958	3.48096	2.64218	2.77928	3.01484	2.16414	3.52712	2.68781	2.08543	3.52789	3.06192	3.79837	4.2122	2.66598	2.17706	4.18317	1.62697	1.95852	2.15826	3.20306	2.54572	3.54785	3.49152	3.57469	3.01155	3.05105	3.58321	4.1452	1.75175	2.98924	2.99193	2.53096	2.95241	3.18867	2.69937	2.53332	3.75194	3.97255	2.50226	3.29029	2.15246	0.708251	3.67839	3.6791
ACLY	5.55287	5.08838	4.84325	5.46122	5.77675	6.08305	5.44297	5.52324	5.35661	5.95086	5.34787	5.61278	5.69747	5.6292	5.08301	5.40849	5.34681	5.15497	4.68028	5.95907	5.80287	5.48994	4.85993	5.7129	6.25121	6.3157	5.09196	4.85414	6.2303	5.57474	8.18182	5.09484	5.27423	5.90119	4.23813	4.88848	4.44925	6.19208	4.27562	6.36839	5.7032	4.07823	4.76913	5.95262	5.04799	3.54204	5.42467	4.33543	5.08524	5.88394	6.21537	5.73405	6.22999	5.19679	5.81673	5.21619	5.37119	4.83095	4.78604	5.05517	5.98279	6.47218	5.83033	4.59205	6.41629	5.70292	6.02323	6.07934	6.27221	4.979	4.99735	6.13952	5.5402	5.3647	4.78156	5.13813	4.67914	5.31997	4.75229	5.03432	6.42681	5.86555	5.54384	5.71219	5.44174	4.73329	5.58787	4.91591	6.33319	7.23494	5.86723	5.29811	5.63524	6.06208	4.45791	5.58962	6.21158	6.19871	4.87252	5.42907	4.90949	5.74625	6.17473
ACO2	4.45129	3.9897	4.585	4.17914	4.78234	4.42749	4.53357	4.77465	4.27397	4.83948	4.71437	3.74886	4.27367	5.38	3.6403	3.42914	5.07087	4.18536	4.57141	3.85542	5.05784	4.91178	4.71074	5.27186	4.5502	5.32328	4.30456	5.04179	4.30764	3.77003	5.31246	4.84777	4.61148	3.88996	5.98946	4.75059	4.34758	4.12171	6.01216	4.63825	4.34549	3.03315	4.08898	4.32105	4.68602	2.12391	4.38771	3.41971	5.54222	5.54105	4.31223	3.99432	4.32078	4.82334	6.01869	4.61982	4.28215	4.56716	3.96324	4.40588	4.57189	4.23428	4.57643	4.16445	4.26525	4.24791	4.89948	4.28393	4.1178	4.62553	4.47521	4.29365	4.70167	4.46657	4.27219	4.90025	4.52622	4.62383	5.15845	5.23051	5.17849	4.64835	4.43899	5.36775	4.45694	4.64277	4.64318	4.36521	5.66449	4.61382	4.27269	3.80363	4.63597	4.4037	2.99369	4.36667	5.26951	3.76723	4.38947	4.45828	3.51604	4.06642	5.24954
